HNCO
Air:
Temp:           
Angstroms       XS
1.070450E+03    3.188000E-17
1.078189E+03    3.232923E-17
1.085927E+03    3.584926E-17
1.093666E+03    3.505154E-17
1.101404E+03    3.724832E-17
1.109143E+03    3.112059E-17
1.116882E+03    3.711834E-17
1.124620E+03    3.504369E-17
1.132359E+03    4.246137E-17
1.140097E+03    2.636064E-17
1.147836E+03    4.207500E-17
1.155575E+03    3.396805E-17
1.163313E+03    3.907995E-17
1.171052E+03    2.988705E-17
1.178790E+03    3.991310E-17
1.186529E+03    2.798754E-17
1.194267E+03    2.236693E-17
1.202006E+03    3.891586E-17
1.209745E+03    3.586377E-17
1.217483E+03    2.179095E-17
1.225222E+03    1.807077E-17
1.232960E+03    2.326736E-17
1.240699E+03    2.683864E-17
1.248438E+03    2.356632E-17
1.256176E+03    2.226940E-17
1.263915E+03    2.345145E-17
1.271653E+03    2.449112E-17
1.279392E+03    2.599368E-17
1.287131E+03    2.431376E-17
1.294869E+03    2.331267E-17
1.302608E+03    2.207893E-17
1.310346E+03    1.591825E-17
1.318085E+03    1.106024E-17
1.325824E+03    5.356369E-18
1.333562E+03    1.251715E-17
1.341301E+03    3.294652E-17
1.349039E+03    1.423330E-17
1.356778E+03    1.956755E-17
1.364517E+03    9.304190E-18
1.372255E+03    7.289725E-17
1.379994E+03    2.497535E-17
1.387732E+03    1.091664E-17
1.395471E+03    8.819985E-18
1.403209E+03    9.157180E-18
1.410948E+03    7.680919E-18
1.418687E+03    5.876644E-18
1.426425E+03    4.871362E-18
1.434164E+03    4.784579E-18
1.441902E+03    4.845475E-18
1.449641E+03    5.169416E-18
1.457380E+03    5.279814E-18
1.465118E+03    5.270489E-18
1.472857E+03    5.013600E-18
1.480595E+03    4.424451E-18
1.488334E+03    4.207500E-18
1.496073E+03    4.758451E-18
1.503811E+03    4.328167E-18
1.511550E+03    4.617264E-18
1.519288E+03    5.235003E-18
1.527027E+03    5.250576E-18
1.534766E+03    5.358968E-18
1.542504E+03    5.609617E-18
1.550243E+03    5.440949E-18
1.557981E+03    5.379819E-18
1.565720E+03    5.592127E-18
1.573459E+03    5.176645E-18
1.581197E+03    4.685883E-18
1.588936E+03    5.611628E-18
1.596674E+03    6.113329E-18
1.604413E+03    6.603443E-18
1.612152E+03    7.206477E-18
1.619890E+03    7.018308E-18
1.627629E+03    6.680234E-18
1.635367E+03    6.360512E-18
1.643106E+03    6.609800E-18
1.650844E+03    6.872565E-18
1.658583E+03    6.888138E-18
1.666322E+03    6.904041E-18
1.674060E+03    6.920280E-18
1.681799E+03    6.636146E-18
1.689537E+03    6.515222E-18
1.697276E+03    6.745441E-18
1.705015E+03    6.812008E-18
1.712753E+03    6.763304E-18
1.720492E+03    6.565311E-18
1.728230E+03    6.230166E-18
1.735969E+03    5.844109E-18
1.743708E+03    5.737047E-18
1.751446E+03    5.233694E-18
1.759185E+03    4.525482E-18
1.766923E+03    4.541368E-18
1.774662E+03    4.405856E-18
1.782401E+03    4.206980E-18
1.790139E+03    3.999312E-18
1.797878E+03    3.390341E-18
1.805616E+03    1.063861E-18
1.813355E+03    9.414162E-19
1.821094E+03    8.850488E-19
1.828832E+03    8.043178E-19
1.836571E+03    7.468080E-19
1.844309E+03    7.169043E-19
1.852048E+03    6.971991E-19
1.859786E+03    6.835451E-19
1.867525E+03    6.746798E-19
1.875264E+03    6.432574E-19
1.883002E+03    6.007810E-19
1.890741E+03    6.069548E-19
1.898479E+03    6.168553E-19
1.906218E+03    5.910654E-19
1.913957E+03    5.829246E-19
1.921695E+03    5.912383E-19
1.929434E+03    5.736071E-19
1.937172E+03    5.194616E-19
1.944911E+03    4.852725E-19
1.952650E+03    4.854300E-19
1.960388E+03    4.977498E-19
1.968127E+03    5.207007E-19
1.975865E+03    5.240431E-19
1.983604E+03    5.322839E-19
1.991343E+03    4.716883E-19
1.999081E+03    4.052214E-19
2.006820E+03    3.534609E-19
2.014558E+03    3.017005E-19
2.022297E+03    2.499400E-19
2.030036E+03    1.981796E-19
2.037774E+03    1.621507E-19
2.045513E+03    1.604045E-19
2.053251E+03    1.582518E-19
2.060990E+03    1.535692E-19
2.068728E+03    1.489824E-19
2.076467E+03    1.451741E-19
2.084206E+03    1.413657E-19
2.091944E+03    1.373131E-19
2.099683E+03    1.329999E-19
2.107421E+03    1.287403E-19
2.115160E+03    1.249856E-19
2.122899E+03    1.212309E-19
2.130637E+03    1.170569E-19
2.138376E+03    1.125610E-19
2.146114E+03    1.081412E-19
2.153853E+03    1.035623E-19
2.161592E+03    9.853498E-20
2.169330E+03    9.347735E-20
2.177069E+03    8.838470E-20
2.184807E+03    8.326248E-20
