alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       SO4AER                   S8AER                    HCAER                    HCAER2                   CO2                      N2                       SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e+04   9.8330658039099295e-01   2.7700000000000000e+02   2.5711410000000000e+19   1.0000000000000000e+05   2.4964772999999999e-16   8.8854089000000007e-16   6.2935789999999997e-03   1.0271830999999999e-11   1.7879453999999998e-15   1.8718117999999999e-17   3.8904632000000002e-17   1.8598378000000000e-04   6.6042384999999997e-08   6.9244944000000004e-13   9.3372244000000006e-12   4.6768817000000001e-07   2.0718608000000000e-15   7.1784073999999997e-14   4.3305266999999998e-12   7.4606407000000005e-18   8.7749330000000002e-13   1.1670281000000000e-23   1.3810897000000001e-18   1.2102600999999999e-34   2.6526435000000000e-37   4.7790953999999997e-37   1.7770356000000000e-30   1.0531562000000001e-31   1.5870122999999999e-33   1.5501011000000000e-25   2.9237097000000001e-28   1.3031607999999999e-24   4.2778988000000002e-19   2.6774353999999999e-24   2.1166333000000001e-30   3.4201890000000003e-20   9.4116554999999998e-20   9.7508859000000007e-30   5.2522677999999997e-21   2.7368770999999999e-17   3.0786622000000001e-20   9.4812702999999995e-19   2.7190754000000000e-21   6.8699961000000000e-25   7.8235944999999997e-23   2.5013777000000002e-36   5.2789733999999996e-37   4.7918183000000003e-28   4.5632048000000002e-26   3.0810360999999998e-25   1.2174982000000001e-21   8.9359037000000000e-13   3.3732403000000001e-14   1.6651680000000000e-15   4.5925756000000002e-15   2.3165460000000001e-25   5.5776608000000001e-16   1.6567399000000001e-16   3.7916015000000000e-18   1.0125733000000000e-15   2.8477994999999999e-15   2.1174880000000001e-14   1.6717457000000000e-24   1.6708413000000000e-25   1.0321114000000000e-28   1.0000000000000000e-04   9.9341990346289921e-01   5.5380543999999997e-02   2.1173860999999999e-12   6.1500742000000006e-08   4.8627474000000000e-11   2.7049953000000000e-04   4.7817934000000001e-04   1.0867149000000000e-06   1.0867149000000000e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
7.5000000000000000e+04   9.2576957191123865e-01   2.7300000000000000e+02   2.4561618000000000e+19   1.0000000000000000e+05   3.7244714999999999e-16   8.2322880999999999e-16   4.7167299999999997e-03   1.3179474000000000e-11   2.4339277000000001e-15   1.6289736000000001e-17   4.8759210000000003e-17   1.8598384000000000e-04   6.6067492000000003e-08   6.5926689000000002e-13   8.3647294000000005e-12   4.6766828000000001e-07   2.0099121000000000e-15   7.1708509999999995e-14   4.6999074999999997e-12   9.3066174999999994e-18   9.5166635999999992e-13   1.2962279999999999e-23   1.7956625999999999e-18   1.0513830000000001e-32   4.2775429000000000e-37   7.7157405999999994e-37   2.2880592999999999e-30   1.3894288000000000e-31   2.0309382000000002e-33   1.7902233000000000e-25   2.5184481000000000e-28   1.3354117000000000e-24   4.2595886000000001e-19   3.0462453000000000e-24   3.5569363999999999e-30   3.5148888000000000e-20   1.0105223000000000e-19   1.2548305000000000e-29   3.7101645999999999e-21   2.3580139000000001e-17   1.9859105999999999e-20   5.8511636000000004e-19   3.1622657999999999e-21   1.0607129999999999e-24   7.9440297999999994e-23   5.9458080999999998e-36   1.2546553000000000e-36   9.7461257000000005e-28   4.4601686000000001e-26   2.4238892000000000e-25   1.2036002000000001e-21   8.8262704999999996e-13   4.5298885999999999e-14   1.6515627000000001e-15   3.8234933000000003e-15   6.2531549000000003e-25   5.9595006000000004e-16   1.7662329000000000e-16   6.3477845999999997e-18   1.5039351000000000e-15   3.2492488999999999e-15   2.2570440000000002e-14   1.6568185000000000e-24   1.7808514000000000e-25   1.1000667999999999e-28   1.0000000000000000e-04   9.9499675239533403e-01   4.9422529999999999e-02   2.0046376000000001e-12   6.2618680000000004e-08   4.9511406999999997e-11   2.8573207999999997e-04   4.9491859000000003e-04   1.1500777999999999e-06   1.1500777999999999e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.2500000000000000e+05   8.7083230906876108e-01   2.6900000000000000e+02   2.3447631000000000e+19   1.0000000000000000e+05   6.1611264999999998e-16   7.9303618999999996e-16   3.3727607000000001e-03   1.5828871000000000e-11   3.0614746000000000e-15   1.4909692000000001e-17   6.2760144999999994e-17   1.8598388000000001e-04   6.6115839000000006e-08   6.1585219000000002e-13   6.9311177000000003e-12   4.6764745999999998e-07   1.9146388000000001e-15   7.1565298999999999e-14   5.0995884999999996e-12   1.3809684999999999e-17   1.0132236000000001e-12   1.7529382000000000e-23   2.6373280000000000e-18   9.6288291000000005e-31   8.1972372999999992e-37   1.4791781000000001e-36   3.5329050999999997e-30   2.1985276999999999e-31   3.0906918000000003e-33   2.1289620000000000e-25   2.2819997999999999e-28   1.3446646999999999e-24   4.2241207000000001e-19   3.3860138000000003e-24   6.8350787000000002e-30   3.5262283000000001e-20   1.0733561000000000e-19   1.4844326000000001e-29   2.8244632000000000e-21   1.8990392999999999e-17   1.1877129000000000e-20   3.7649861000000000e-19   3.8034554000000004e-21   1.8954573000000001e-24   7.9262183000000003e-23   1.5539157999999999e-35   3.2782567999999998e-36   2.1389051000000001e-27   4.4480080000000002e-26   1.7586260000000001e-25   1.1710477000000001e-21   8.6605070000000003e-13   6.0236745000000003e-14   1.6732900000000000e-15   3.0166890999999999e-15   1.3824503999999999e-24   6.3646527000000003e-16   1.9868177000000001e-16   9.7763149999999997e-18   1.8878189000000002e-15   3.8616369999999999e-15   2.5424795999999998e-14   1.6330427000000001e-24   2.0061908000000001e-25   1.2392634000000000e-28   1.0000000000000000e-04   9.9634072162617127e-01   4.4729023000000000e-02   1.8862553000000002e-12   6.7342688000000003e-08   5.3246590000000000e-11   3.0524212000000001e-04   5.1295265999999997e-04   1.2183886999999999e-06   1.2183886999999999e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.7500000000000000e+05   8.1841267707396104e-01   2.6500000000000000e+02   2.2368826000000000e+19   1.0000000000000000e+05   1.1260417999999999e-15   7.7690421999999999e-16   2.3872766000000000e-03   1.8660013000000001e-11   3.7715096999999997e-15   1.3963927999999999e-17   8.1148964999999999e-17   1.8598390000000001e-04   6.6192033000000002e-08   5.7112676000000004e-13   5.5643784999999997e-12   4.6762564000000003e-07   1.8130485000000000e-15   7.1363638000000000e-14   5.5185637999999996e-12   2.3137476999999999e-17   1.0751555999999999e-12   2.7105915000000001e-23   4.1940509000000003e-18   9.1804910000000000e-29   1.6523911999999999e-36   2.9827160000000001e-36   5.9364576999999997e-30   3.7582522999999999e-31   5.0331202000000003e-33   2.6095927000000000e-25   2.2609477000000002e-28   1.3450343000000000e-24   4.1732315000000002e-19   3.7285880999999999e-24   1.3629178999999999e-29   3.5060184999999998e-20   1.1319909999999999e-19   1.7135217000000000e-29   2.2097007999999998e-21   1.5315959999999999e-17   7.0431455999999994e-21   2.4409365999999999e-19   4.7546010999999997e-21   3.5210697000000001e-24   7.8669634000000000e-23   4.0985513999999998e-35   8.6437394000000002e-36   4.7431282000000001e-27   4.4220728000000001e-26   1.2501220000000000e-25   1.1151162000000001e-21   8.4396850000000003e-13   7.8274502999999994e-14   1.6870878000000000e-15   2.3799540000000000e-15   2.8798546000000001e-24   6.6549083000000004e-16   2.2428191000000002e-16   1.4594284999999999e-17   2.2550214999999998e-15   4.5728982000000001e-15   2.9983403000000001e-14   1.6091625999999999e-24   2.3663776999999999e-25   1.4617578999999999e-28   1.0000000000000000e-04   9.9732620564989471e-01   4.4222010999999999e-02   1.7731565999999999e-12   7.5778586000000000e-08   5.9916694999999997e-11   3.2504213000000002e-04   5.3240674999999996e-04   1.2921258000000001e-06   1.2921258000000001e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.2500000000000000e+05   7.6843015357779554e-01   2.6100000000000000e+02   2.1324586000000000e+19   1.0000000000000000e+05   2.2169192999999999e-15   7.6991164000000002e-16   1.6718085000000001e-03   2.1817693000000001e-11   4.6109104999999997e-15   1.3286910000000000e-17   1.0422149000000000e-16   1.8598388999999999e-04   6.6301346000000004e-08   5.2715650000000005e-13   4.3972890000000004e-12   4.6760277000000002e-07   1.7117034999999999e-15   7.1112403999999996e-14   5.9448263000000001e-12   4.2119095999999998e-17   1.1374967999999999e-12   4.6081893999999998e-23   6.9501416000000007e-18   9.0845715999999994e-27   3.3292778999999998e-36   6.0119496000000002e-36   1.0275855000000000e-29   6.6154039999999998e-31   8.3989067999999997e-33   3.3577011000000002e-25   2.5661117999999998e-28   1.3407791999999999e-24   4.1087900999999999e-19   4.0956250999999999e-24   2.7908569000000001e-29   3.4692159999999998e-20   1.1902128000000000e-19   1.9560124000000001e-29   1.7562768000000000e-21   1.2768735000000000e-17   4.2340847000000002e-21   1.5822791000000001e-19   6.3072758000000001e-21   6.7110184000000004e-24   7.7902954000000004e-23   1.0912679999999999e-34   2.3004151000000000e-35   1.0560875000000000e-26   4.3677600000000002e-26   8.9394858000000001e-26   1.0321369000000001e-21   8.1596965999999999e-13   9.9706635999999999e-14   1.6864077999999999e-15   1.8885620000000001e-15   5.9726925000000000e-24   6.8026647999999995e-16   2.5227142000000000e-16   2.1578272000000000e-17   2.6707072000000001e-15   5.3703204000000000e-15   3.6222356000000001e-14   1.5777724000000000e-24   2.8597481999999999e-25   1.7665226000000001e-28   1.0000000000000000e-04   9.9804167367101448e-01   4.5558422000000001e-02   1.6574060000000000e-12   8.7302693999999999e-08   6.9028588999999999e-11   3.4618544000000002e-04   5.5342045000000004e-04   1.3718231000000001e-06   1.3718231000000001e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.7500000000000000e+05   7.2078327423654331e-01   2.5675000000000000e+02   2.0333445000000000e+19   1.0000000000000000e+05   4.5689007999999996e-15   7.8299057000000002e-16   1.1311679000000001e-03   2.4972362999999999e-11   5.5416626999999997e-15   1.3050067000000000e-17   1.3165268999999999e-16   1.8598384000000000e-04   6.6449720999999997e-08   4.8274805000000002e-13   3.4358906999999998e-12   4.6757877999999998e-07   1.6048694000000001e-15   7.0820005999999994e-14   6.3665224000000004e-12   8.1910397000000001e-17   1.1956932000000000e-12   8.6176895000000002e-23   1.1716062000000000e-17   9.2757897000000005e-25   6.6899120000000006e-36   1.2083126000000001e-35   1.7879729000000000e-29   1.1784101000000000e-30   1.4135495999999999e-32   4.5862688999999998e-25   3.4785048000000002e-28   1.3345771000000000e-24   4.0327156999999998e-19   4.5203318000000001e-24   5.9274461000000003e-29   3.4158337999999997e-20   1.2521372000000000e-19   2.1634680999999999e-29   1.4498675000000000e-21   1.1017869000000000e-17   2.6082360000000001e-21   1.0240300000000000e-19   8.9906321000000005e-21   1.3182953000000000e-23   7.6595597999999999e-23   2.9953629000000002e-34   6.3102720000000001e-35   2.3500297000000000e-26   4.3110575000000000e-26   6.5255330999999996e-26   9.2095274000000002e-22   7.8172156999999998e-13   1.2465117000000001e-13   1.6851676000000000e-15   1.5329261000000000e-15   1.2755225000000001e-23   6.7737327000000000e-16   2.8515171999999999e-16   3.1891742999999997e-17   3.1919119999999999e-15   6.2977523999999998e-15   4.3997755000000002e-14   1.5312350999999999e-24   3.4752601000000001e-25   2.1467363000000002e-28   1.0000000000000000e-04   9.9858231419399812e-01   4.7792860000000000e-02   1.5337578999999999e-12   1.0116203000000001e-07   7.9986903999999996e-11   3.6904129000000000e-04   5.7630306999999995e-04   1.4578886999999999e-06   1.4578886999999999e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.2500000000000000e+05   6.7535415033339896e-01   2.5225000000000000e+02   1.9391755000000000e+19   1.0000000000000000e+05   9.4648857000000006e-15   8.3003165000000000e-16   7.3733179999999998e-04   2.7884875000000001e-11   6.5247508000000000e-15   1.3426973000000000e-17   1.6393766000000001e-16   1.8598375000000001e-04   6.6643225999999996e-08   4.3859142000000002e-13   2.6622809000000000e-12   4.6755364000000000e-07   1.4931294000000000e-15   7.0494308999999998e-14   6.7755059000000001e-12   1.6366861000000001e-16   1.2461195000000001e-12   1.7332387000000000e-22   1.9804727999999999e-17   8.8826905000000002e-23   1.3322311000000001e-35   2.4061978999999999e-35   3.0762278000000001e-29   2.0934396000000000e-30   2.3694107000000000e-32   6.6351298000000002e-25   5.4988450999999998e-28   1.3268290000000000e-24   3.9468972999999999e-19   5.0149783000000001e-24   1.2907662000000001e-28   3.3468032999999999e-20   1.3186061999999999e-19   2.3082276999999999e-29   1.2658422000000001e-21   9.7969935000000004e-18   1.6607995000000001e-21   6.6252679999999997e-20   1.3641300999999999e-20   2.6383424000000000e-23   7.4718746000000003e-23   8.4604996000000005e-34   1.7807955000000001e-34   5.1506542000000003e-26   4.2758783999999999e-26   4.9014883000000000e-26   7.8522924999999998e-22   7.4103219000000000e-13   1.5312760000000000e-13   1.6905764000000000e-15   1.2789361999999999e-15   2.8380335000000000e-23   6.5742284000000002e-16   3.2414539999999999e-16   4.7527281000000003e-17   3.8939068000000000e-15   7.3871724000000001e-15   5.3286645999999997e-14   1.4722313000000001e-24   4.2115452000000001e-25   2.6015541000000002e-28   1.0000000000000000e-04   9.9897615021307473e-01   5.2579096999999998e-02   1.4063620000000000e-12   1.1691704000000000e-07   9.2444094999999998e-11   3.8975178000000000e-04   6.0127775000000004e-04   1.5511059000000001e-06   1.5511059000000001e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.7500000000000000e+05   6.3207469115904491e-01   2.4800000000000000e+02   1.8460074000000000e+19   1.0000000000000000e+05   1.8844355000000000e-14   9.1839211999999993e-16   4.8511018000000001e-04   3.1348119000000000e-11   7.7292798999999993e-15   1.4411533000000002e-17   2.0440023000000001e-16   1.8598361000000000e-04   6.6887881000000002e-08   3.9859590999999998e-13   2.0540551999999999e-12   4.6752724999999998e-07   1.3929479000000001e-15   7.0141890999999999e-14   7.1597729000000000e-12   3.0975415000000000e-16   1.2913880000000001e-12   3.4675192000000001e-22   3.3156419000000002e-17   3.9712570999999998e-21   2.5275867000000002e-35   4.5658993000000000e-35   5.1618112000000003e-29   3.6465118000000003e-30   3.9048145999999998e-32   9.9865095999999999e-25   9.3606334000000008e-28   1.3172255000000000e-24   3.8529803999999998e-19   5.5483094000000002e-24   2.7950490000000000e-28   3.2772588000000000e-20   1.3857553000000000e-19   2.4943821999999999e-29   1.1500986000000001e-21   9.1482340999999996e-18   1.1036959000000001e-21   4.2845832000000002e-20   2.1335118000000001e-20   5.2624554999999998e-23   7.3218675000000000e-23   2.3877463000000001e-33   5.0205907999999998e-34   1.1054369000000000e-25   4.2172958999999998e-26   3.7661211999999998e-26   6.3488043000000004e-22   6.9398004999999997e-13   1.8502413999999999e-13   1.6738298000000001e-15   1.0629056000000000e-15   6.4780733000000004e-23   6.2541828000000003e-16   3.6414781000000001e-16   7.1896620999999994e-17   4.8814515000000002e-15   8.5693579000000005e-15   6.4134175000000000e-14   1.4063455000000001e-24   5.0728228000000002e-25   3.1335821000000001e-28   1.0000000000000000e-04   9.9922837175155710e-01   5.8153961999999997e-02   1.2788789000000001e-12   1.3406098000000001e-07   1.0599948000000001e-10   4.1096478999999998e-04   6.2825699000000005e-04   1.6527338000000001e-06   1.6527338000000001e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.2500000000000000e+05   5.9091839163527116e-01   2.4400000000000000e+02   1.7541002000000000e+19   1.0000000000000000e+05   3.5691867000000002e-14   1.0866948000000000e-15   3.2271821999999998e-04   3.5433975000000001e-11   9.1967919999999997e-15   1.6527038000000001e-17   2.5619976999999999e-16   1.8598342000000000e-04   6.7190677000000002e-08   3.6239982999999999e-13   1.5806291000000000e-12   4.6749950000000001e-07   1.3032604999999999e-15   6.9768172000000003e-14   7.5130273999999997e-12   5.4997605000000004e-16   1.3294983000000000e-12   7.0038230999999999e-22   5.4657666000000000e-17   5.9536795000000006e-20   4.5649761999999998e-35   8.2487158000000002e-35   8.4017211000000000e-29   6.1864209000000002e-30   6.2883542000000004e-32   1.5279559000000000e-24   1.6280995000000002e-27   1.3057035000000000e-24   3.7524205000000001e-19   6.1170007999999997e-24   5.9804683000000001e-28   3.2072053999999998e-20   1.4528575000000001e-19   2.7277806000000002e-29   1.1154908000000000e-21   8.9243685999999997e-18   7.6743983999999999e-22   2.7766845000000003e-20   3.3515877999999998e-20   1.0399834000000000e-22   7.2088268999999995e-23   6.6648926999999998e-33   1.3997230000000001e-33   2.3051535999999999e-25   4.1383760000000001e-26   2.9692660999999998e-26   4.8399396000000001e-22   6.4107148000000000e-13   2.1962529000000000e-13   1.6353034999999999e-15   8.7823967000000001e-16   1.5113234000000000e-22   5.8188639000000003e-16   4.0429621000000002e-16   1.1039619000000000e-16   6.2874551999999999e-15   9.8341628000000007e-15   7.6631716999999998e-14   1.3388072000000000e-24   6.0673082000000002e-25   3.7478952000000000e-28   1.0000000000000000e-04   9.9939076362252843e-01   6.3900004999999996e-02   1.1568483000000001e-12   1.5235955999999999e-07   1.2046782000000001e-10   4.3378474000000002e-04   6.5742160999999999e-04   1.7635410000000000e-06   1.7635410000000000e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.7500000000000000e+05   5.5183338813110394e-01   2.4000000000000000e+02   1.6653804000000000e+19   1.0000000000000000e+05   6.4989882000000005e-14   1.4136507000000001e-15   2.1176326000000000e-04   3.9755825000000001e-11   1.0886983000000000e-14   2.0857479000000001e-17   3.2274462000000000e-16   1.8598317000000000e-04   6.7559206999999999e-08   3.2847389000000001e-13   1.2124557000000000e-12   4.6747030000000002e-07   1.2171477000000001e-15   6.9378089000000000e-14   7.8304647000000004e-12   9.3958551999999997e-16   1.3567167000000000e-12   1.5060678000000000e-21   8.8777614000000001e-17   3.9817216999999998e-19   7.9352717000000005e-35   1.4342260000000000e-34   1.3215008999999999e-28   1.0169144000000000e-29   9.8297203000000001e-32   2.3483474999999999e-24   2.8060531999999999e-27   1.2938924000000000e-24   3.6466345000000001e-19   6.7607805000000006e-24   1.2637691000000000e-27   3.1330140000000000e-20   1.5235515000000001e-19   2.9554482999999998e-29   1.1952835999999999e-21   8.9352831000000000e-18   5.5310351999999999e-22   1.7985211000000001e-20   5.2394462999999998e-20   2.0246795000000000e-22   7.0906259000000002e-23   1.8299726000000001e-32   3.8376922000000000e-33   4.6150454000000005e-25   4.0611143999999999e-26   2.4193442000000000e-26   3.4701766999999999e-22   5.8308508000000002e-13   2.5583402999999998e-13   1.5875769000000000e-15   7.2986833999999997e-16   3.6551141000000002e-22   5.2667709000000004e-16   4.4646011000000004e-16   1.7154122000000000e-16   8.2993383000000008e-15   1.1212405999999999e-14   9.0889829999999997e-14   1.2737182000000001e-24   7.2052760000000002e-25   4.4508402000000001e-28   1.0000000000000000e-04   9.9950171848890701e-01   6.9766529999999993e-02   1.0449386000000000e-12   1.7178424000000000e-07   1.3582655000000000e-10   4.5855088999999997e-04   6.8916300000000002e-04   1.8842096000000000e-06   1.8842096000000000e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
