alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8251249034515820e-01   2.7700000000000000e+02   2.5702728256818876e+19   1.0000000000000000e+05   2.9328590899302897e-14   1.0000000000000000e-08   6.2957049446559768e-03   1.9793058447974805e-14   1.5847126421239122e-16   3.2219063990915762e-11   5.5451262250298160e-09   1.0656366028842855e-04   1.2000000000000000e-04   1.3158978807302639e-13   2.2396787598696034e-09   3.5000000000000001e-03   1.3459454337743534e-13   4.8566392767038954e-06   1.0960282560504226e-12   1.3719785069643232e-11   1.9118595312763274e-12   1.3080625978318497e-13   5.8067784799038543e-14   3.0402972742669241e-46   2.6024785314882954e-20   9.5111735693570319e-21   2.7358604860319929e-16   7.8939472921597149e-17   7.1911687868652088e-20   5.0219127630966767e-13   5.5362961343111922e-13   2.1100878575380174e-13   2.5154498230344340e-09   1.9180598109412205e-14   9.8160901395149383e-18   8.4101583563313904e-16   1.6653087898730818e-11   3.8413142816181848e-30   1.0470768530722573e-10   4.7181336813620112e-11   2.0240463613654192e-11   5.1242222862773469e-12   1.9127610840551850e-14   7.8875486066926132e-14   3.1408855257194070e-19   3.9534618832618161e-28   4.1002271812054499e-29   8.5971159262028766e-20   4.9281187769674535e-21   1.3002913285643572e-20   2.1390262697232366e-19   1.0968139136016101e-09   1.1473320800691991e-15   1.4312360227361923e-14   6.4351392300679085e-11   1.0386223411845519e-20   4.6838125757289066e-14   4.3553758939446845e-12   7.3607769966285535e-14   9.2452687402648951e-11   2.0926217794966584e-13   1.8719265516646897e-17   2.9948062371918182e-15   2.0000000000000000e-02   4.6823516909735013e-12   1.9422561512843770e-13   4.3197704708195521e-12   1.2944081987273761e-14   1.4295897021088113e+00   2.4591765083094957e-01   1.3544585180057059e-01   3.5369334722662876e-02   8.5653403810736280e-04   4.7825996997251190e-04   2.3015443642999516e-04   5.1685897404012298e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
7.5000000000000000e-01   9.2439066541725734e-01   2.7300000000000000e+02   2.4536568068621791e+19   1.0000000000000000e+05   3.4423731049591227e-14   3.1883787648106127e-09   4.7182533820651282e-03   2.4870186823848139e-14   1.7364760654729259e-16   3.1898091202201183e-11   5.1405708483879243e-09   1.0657615859482533e-04   1.2000662001070920e-04   4.5443843311069446e-13   2.0345385869129851e-09   3.4999908742070641e-03   3.6989904278607031e-13   4.8567257319888846e-06   1.5007969539323483e-12   1.2405041886165068e-11   3.7519966215492035e-12   4.3852743950970227e-14   5.5433894296215815e-14   1.4864283573910429e-43   2.9836705277517126e-20   1.1421577997511888e-20   2.7347542385147349e-16   7.9099766856664283e-17   5.0488089786160967e-20   4.4749355824612372e-13   5.7874714048299928e-13   1.8209715575468641e-13   2.5160779932348823e-09   1.7496452811475442e-14   8.9490603698815272e-18   2.6372478096863343e-15   1.7135721566315616e-11   9.0098204702697394e-30   6.7682279668210105e-11   6.9787204853526755e-11   3.5409243443880212e-11   4.5948081972936763e-12   2.8400783923272077e-14   7.9305648297780445e-14   6.0383823472695157e-19   5.7527209672197598e-28   5.9814763368695777e-29   1.1933654055948772e-19   6.9016647165660108e-21   1.5931747422175705e-20   4.1816726136029785e-19   1.1146542478406537e-09   3.0298791710813019e-15   2.2625779633588675e-14   7.0208776966112020e-11   1.9433428663687527e-20   8.5460906995085526e-14   5.5033708751901525e-12   9.4277879964151617e-14   1.2089675329225519e-10   2.6691880247407975e-13   5.4921187142690201e-17   6.8550043768949784e-15   2.0000002058899392e-02   4.9626634413694448e-12   2.0702754252408304e-13   4.6047925485878667e-12   1.3796961184821024e-14   1.2658295628551444e+00   2.5023376831634031e-01   1.3783188640271932e-01   3.5989322543761783e-02   8.9652972790819235e-04   4.9517828813377019e-04   2.3360354680719672e-04   5.3479666445808208e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
1.2500000000000000e+00   8.6893312505024389e-01   2.6900000000000000e+02   2.3407497576915141e+19   1.0000000000000000e+05   3.6027699930428776e-14   3.8770142755874917e-10   3.3737927470494145e-03   2.8795765119560611e-14   1.4647533319316149e-16   2.5680728465789163e-11   3.8859274883235219e-09   1.0658862284040775e-04   1.2001532015519459e-04   2.8404745009146195e-12   1.6496425238016234e-09   3.4999829971974934e-03   1.0798054627585646e-12   4.8568650389414861e-06   3.0771438667368386e-12   1.0174914479789122e-11   5.4160549281020312e-12   5.4266860306747788e-15   4.5507218344296584e-14   7.0060577262625793e-41   3.7704070302951202e-20   1.4407949242978528e-20   2.7317352759000934e-16   7.9386385237376756e-17   2.8455139858969273e-20   3.3399241703434209e-13   6.1019109652447734e-13   1.3824109774976746e-13   2.5173383062740957e-09   1.4151721887690928e-14   7.1911493859377018e-18   1.6335813391387699e-14   1.8166572493718564e-11   1.8906125025202458e-29   1.4600584716032972e-11   3.7457900173156143e-11   6.0542228377909481e-11   3.9071786975242726e-12   4.9942808412935519e-14   8.0208211270940078e-14   1.1307417034747598e-18   7.9347428498988755e-28   8.2721392798826714e-29   1.4995956185813569e-19   8.6591896591506069e-21   2.3095015415161339e-20   7.8674370736562290e-19   1.1483890892551351e-09   7.0139893554259529e-15   3.7728568686501274e-14   8.1898028336125122e-11   2.6601292530881184e-20   1.5020568859531164e-13   6.5458253036210759e-12   9.1277781435528735e-14   1.2720341044826259e-10   2.7943765920768695e-13   1.5257838483637935e-16   1.5465164879564422e-14   2.0000001000270252e-02   5.5246172242020150e-12   2.3306567300582745e-13   5.1883214813297758e-12   1.5544249695667072e-14   1.1306875613523284e+00   2.6874306856026853e-01   1.4815205436482054e-01   3.8681308992556049e-02   9.4867113686951919e-04   5.1341791016733295e-04   2.3723932577424044e-04   5.5413135751894507e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
1.7500000000000000e+00   8.1605400433718289e-01   2.6500000000000000e+02   2.2314848354858709e+19   1.0000000000000000e+05   1.9569496859905193e-14   2.2132901218870578e-11   2.3879606655816217e-03   3.3084962135747102e-14   8.8331223074094090e-17   6.3147522478922861e-12   2.3241581758074455e-09   1.0660113605291922e-04   1.2002593328409499e-04   6.3184900679414438e-12   1.4811582952727207e-09   3.4999757622090418e-03   8.7950796466591608e-13   4.8569332576448732e-06   7.2281911219998353e-12   3.8562256577243038e-12   8.7663865893798239e-12   2.6833169712007488e-16   3.2425162979697182e-14   2.7802430483177691e-38   5.0138681403993801e-20   1.8597723500326377e-20   2.7255458422441101e-16   7.9695579597995670e-17   3.0880725442822619e-20   1.8715657999951592e-13   5.9575153140240948e-13   1.0233437682971948e-13   2.5186703042253908e-09   9.8568287344560243e-15   4.9994796265000987e-18   6.4282895068475406e-14   1.9311843398033265e-11   1.7502692297147328e-29   6.2300192120199373e-13   4.7739707485416706e-12   4.7872508842401820e-11   3.1387988874394257e-12   6.5477232842994366e-14   8.1564501313559953e-14   9.7534088901447182e-19   1.0593143661699970e-27   1.1074043747433209e-28   1.9531964647287700e-19   1.1792614045939595e-20   3.6407924608689333e-20   1.1570039356670355e-18   1.1897437531983323e-09   1.1343175842831069e-14   9.8768431095716422e-14   1.0075959259789262e-10   1.7972512169988155e-20   2.0968266730916906e-13   7.0663595077963912e-12   6.6625410605368522e-14   1.1840350062914593e-10   6.2768706538866227e-13   2.8859305055339476e-16   2.5276511707974993e-14   1.9999997435084592e-02   6.4178720094609881e-12   2.7393991773600051e-13   6.1210922812912048e-12   1.8337977186307024e-14   1.0996985243307833e+00   3.0112945083601228e-01   1.6662826777598347e-01   4.3503257637141371e-02   1.0003844452403635e-03   5.3310764876792936e-04   2.4107522813020826e-04   5.7499935906681465e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
2.2500000000000000e+00   7.6566902134852100e-01   2.6100000000000000e+02   2.1257954948873372e+19   1.0000000000000000e+05   5.0060250048564004e-15   1.2262172932514472e-12   1.6722504004161574e-03   3.1625996241027382e-14   5.2954035474752107e-17   4.4444456297592979e-13   1.3509631335059934e-09   1.0661371371460625e-04   1.2003833606656153e-04   5.8862267501067756e-12   1.2012347970761031e-09   3.4999685457981181e-03   5.1873968291082831e-13   4.8569257955852995e-06   1.0696594863007003e-11   3.2581535731936168e-13   1.0268474805194328e-11   8.7942163454445004e-18   2.2009712875538869e-14   5.7825610091197718e-36   7.4056479124036281e-20   2.4537996192378763e-20   2.7164368933434861e-16   8.0071089228325799e-17   3.7340117254496613e-20   8.5854890403730200e-14   5.5523082208224340e-13   7.5007453698691351e-14   2.5187174956389944e-09   6.7282789443510822e-15   3.4892019995424280e-18   5.9865359359354627e-14   1.9381032385463335e-11   1.0001956655933843e-29   1.7052418863798309e-14   3.5531931233902391e-13   2.7846300691213652e-11   2.4865073184009237e-12   4.0882306234861694e-14   8.3274592606051681e-14   6.1719713425003760e-19   1.3814659482232652e-27   1.4483201898212280e-28   2.1571611296988957e-19   1.3156642133579914e-20   5.4369607956799483e-20   1.3977143271523983e-18   1.2354985028264938e-09   1.6821994647771771e-14   2.5995926415145131e-13   1.2438067459712716e-10   6.6804172465235480e-21   2.6901492805811409e-13   6.4794774326135435e-12   4.1882781505106323e-14   9.8638552243184133e-11   2.1878138851824439e-12   4.7018267596002665e-16   3.5521764761286589e-14   1.9999992376941403e-02   7.6411852221866300e-12   3.2817771145843649e-13   7.3991093926221964e-12   2.2166223953704773e-14   1.1151967260698157e+00   3.4366439177107555e-01   1.9187868934337735e-01   5.0094449732761927e-02   1.0548039646995806e-03   5.5439120002534980e-04   2.4512605956530383e-04   5.9755274022287601e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
2.7500000000000000e+00   7.1767304651202779e-01   2.5675000000000000e+02   2.0255226183255802e+19   1.0000000000000000e+05   4.6898101302641907e-15   8.7187098295103800e-14   1.1314382182511708e-03   3.1152885839054891e-14   3.7916171106631951e-17   2.5608049445444764e-14   7.7658654745512646e-10   1.0662643817010196e-04   1.2005198443835618e-04   5.2532388284036278e-12   9.2114690017406901e-10   3.4999611447274780e-03   4.0930066185259623e-13   4.8568774516668772e-06   1.2642077084714261e-11   2.1304971109168542e-14   1.0249010792455962e-11   3.1761968468692603e-19   1.4761671457704283e-14   1.0798419976927988e-33   1.0589383316920675e-19   3.1600120445232437e-20   2.7052707577851402e-16   8.0543898592713596e-17   3.9952593277220803e-20   4.3395050289682982e-14   5.0234007368413669e-13   5.9118038474812935e-14   2.5180065176653198e-09   4.6892635139858824e-15   2.5488436324065745e-18   4.7636410303264753e-14   1.8925975547971153e-11   5.9624391344500862e-30   5.1925891961831969e-16   2.6476231970091735e-14   1.6022764009549250e-11   1.9389800916720049e-12   2.8316868569038287e-14   8.5200722721982415e-14   3.8537443690300721e-19   1.7675608533943953e-27   1.8589691910348967e-28   2.4497228524466490e-19   1.0889527682496765e-20   6.4833935600348495e-20   1.4525640480429687e-18   1.2841619526050157e-09   2.4329864531161051e-14   3.8897767124588400e-13   1.4141846468215430e-10   6.3632514115157776e-21   3.3044741413331885e-13   5.9394932226786792e-12   2.7213108349789297e-14   7.9860601535842625e-11   3.4103666308911232e-12   7.2139580317852196e-16   4.6256232538804203e-14   1.9999986370472053e-02   9.1693095918976815e-12   3.9269388420922636e-13   8.9941261073049693e-12   2.6944442533260163e-14   1.1544708300248432e+00   3.9182776422959853e-01   2.2223982296915307e-01   5.8020666209057339e-02   1.1131402260939447e-03   5.7758236465346160e-04   2.4958729529217250e-04   6.2213454547718064e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
3.2500000000000000e+00   6.7194446151173481e-01   2.5225000000000000e+02   1.9302924735689949e+19   1.0000000000000000e+05   6.9079089490912536e-15   1.7988612617629373e-14   7.3748656210700307e-04   3.0944993926276836e-14   2.7880521795272954e-17   3.3669351155864494e-15   4.4127710976932414e-10   1.0663940499615844e-04   1.2006668935370873e-04   4.6457685644387509e-12   6.8419104986221892e-10   3.4999534868603837e-03   3.4604105947967623e-13   4.8568023775792455e-06   1.4634134954361707e-11   5.7925674530972074e-15   9.9887551462387124e-12   3.2956470781603211e-20   9.7937213369029817e-15   2.1148701183849727e-31   1.4513190205521779e-19   3.9365238858221381e-20   2.6925766875459190e-16   8.1120706908136986e-17   4.0522757992878268e-20   2.8747705899962567e-14   4.4373685572437568e-13   4.9971796149453023e-14   2.5168103540123362e-09   3.3112975277322312e-15   1.9259175852319082e-18   3.8861534878506686e-14   1.8212472806018027e-11   3.6472545945832579e-30   4.1533278269825046e-17   4.4081287364220917e-15   9.3790032991793486e-12   1.4849025775244909e-12   2.4910506456470458e-14   8.7255671419888662e-14   2.4419576011973098e-19   2.2254368670904241e-27   2.3487006204108151e-28   2.8255466117557592e-19   8.3350653159152602e-21   6.6459119136871274e-20   1.3746002653918637e-18   1.3346539008455152e-09   3.4960891355187387e-14   5.2123448264009262e-13   1.4901089282805482e-10   8.8282206169539888e-21   3.9945953505103515e-13   5.0516004061411797e-12   1.9198887335883482e-14   6.5499093460145071e-11   4.2469586948886559e-12   1.0836711783935460e-15   5.8481657049914630e-14   1.9999979600583074e-02   1.1000578560198932e-11   4.6502569392230229e-13   1.0902929971566698e-11   3.2663100983514069e-14   1.2595580282564383e+00   4.4218503247804875e-01   2.5673918173441634e-01   6.7028105141600999e-02   1.1630626458270787e-03   6.0290987702932416e-04   2.5450520522836396e-04   6.4898805474499031e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
3.7500000000000000e+00   6.2841212085269516e-01   2.4800000000000000e+02   1.8361737986579452e+19   1.0000000000000000e+05   1.0436163644962713e-14   1.5899884417703587e-14   4.8519588198270042e-04   3.1016545179776901e-14   2.0824682191649371e-17   2.0226917250136735e-15   2.4793249807571052e-10   1.0665272041352553e-04   1.2008237679865567e-04   4.0988506576584440e-12   4.9929561038196544e-10   3.4999455166557043e-03   3.0545430694443346e-13   4.8567082542127832e-06   1.6771619021403057e-11   6.6369184903734807e-15   9.5977715886406541e-12   3.1280701513531015e-20   6.4252190992537574e-15   2.4683397189410781e-29   1.9109351759075574e-19   4.7551998361044878e-20   2.6787246452324920e-16   8.1795178293843744e-17   4.0058828749029383e-20   2.6223856173400719e-14   3.8323930887450625e-13   4.4432484940988345e-14   2.5152699167630588e-09   2.3577283220402440e-15   1.4892067543293629e-18   3.3151727729432808e-14   1.7370439641353407e-11   2.3352345539358245e-30   2.2842623029281662e-17   1.9276012404494083e-15   5.6734816317185442e-12   1.1383963379595525e-12   2.6816986097426549e-14   8.9357417176281485e-14   1.5989323573170902e-19   2.7626220533683251e-27   2.9256535803282851e-28   3.2666891462519268e-19   6.2684620656137179e-21   6.1358592272213186e-20   1.2178873758984464e-18   1.3856725773771496e-09   4.9676389489018248e-14   6.6502646528787849e-13   1.4806745737352789e-10   1.3512405229669273e-20   4.7921130350643667e-13   4.1150174192100327e-12   1.5193520009552020e-14   5.4929223484089264e-11   4.8984023990876731e-12   1.5967115915748415e-15   7.2716875094418528e-14   1.9999972167871471e-02   1.3146277643824174e-11   5.4258642397374833e-13   1.3136800421121877e-11   3.9356091250940010e-14   1.3819231781907071e+00   4.9077980101470720e-01   2.9425862457417468e-01   7.6824926971656535e-02   1.2133547164960038e-03   6.3029346022011774e-04   2.5953592017345330e-04   6.7800583883657835e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
4.2500000000000000e+00   5.8704662668732410e-01   2.4400000000000000e+02   1.7434266651441082e+19   1.0000000000000000e+05   1.5780078848447370e-14   1.9385246517362501e-14   3.2276297232359559e-04   3.1399697442716302e-14   1.5947386912168921e-17   1.8453951226730079e-15   1.3775782101805978e-10   1.0666649641396076e-04   1.2009904279532477e-04   3.6193485139356978e-12   3.6130891918790133e-10   3.4999371812075731e-03   2.8503399572218516e-13   4.8565991704347019e-06   1.8995706822590020e-11   9.3089303180118168e-15   9.0992667378742346e-12   5.1314733704163547e-20   4.1670423222018713e-15   1.0275279167364684e-27   2.4259911265646299e-19   5.5927589221103755e-20   2.6639849977934059e-16   8.2555482587379785e-17   3.8814853337352978e-20   2.9595206595384028e-14   3.2317670762657693e-13   4.0786499693586212e-14   2.5134590381665951e-09   1.6936732898603481e-15   1.1745831785073787e-18   3.0018605575088612e-14   1.6465589779245185e-11   1.5905577442592383e-30   2.1971756017869452e-17   1.0828739809617467e-15   3.5950630236544449e-12   8.7552913003643588e-13   3.3131263862787963e-14   9.1427803098843343e-14   1.0971018185736525e-19   3.3862425344957740e-27   3.5981168903167478e-28   3.7811978703719801e-19   4.7706139947416209e-21   5.1922496232805251e-20   1.0225874381653887e-18   1.4354827121030326e-09   6.9593214360599766e-14   8.0404836064853538e-13   1.4057945924623771e-10   2.2117701973060723e-20   5.6876474163703872e-13   3.3383034959843487e-12   1.3775998901015682e-14   4.7407910283113198e-11   5.4156823357566506e-12   2.2963574694045865e-15   8.8533378628669900e-14   1.9999964123330844e-02   1.5626935575981215e-11   6.2225214027858048e-13   1.5717411348114431e-11   4.7088453368462955e-14   1.5091776426728292e+00   5.3440935764984787e-01   3.3428009450344998e-01   8.7275937293696260e-02   1.2666002427187927e-03   6.5992105250632942e-04   2.6467401788801286e-04   7.0938561731243163e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
4.7500000000000000e+00   5.4779310623558830e-01   2.4000000000000000e+02   1.6539646927403028e+19   1.0000000000000000e+05   2.4021373302747196e-14   2.4210057240653519e-14   2.1178342709218082e-04   3.2009959426565315e-14   1.2535549760019950e-17   1.7705646051170609e-15   7.5715295020183740e-11   1.0668083072404725e-04   1.2011671170047660e-04   3.1923717959905428e-12   2.6051473898717393e-10   3.4999284362629201e-03   2.8185556510821850e-13   4.8564771849659685e-06   2.1255806306129911e-11   1.3587453824085812e-14   8.4991268577742228e-12   8.7819822940217863e-20   2.6718810168608911e-15   1.8113689593897799e-26   2.9818907300854374e-19   6.4248712894072519e-20   2.6485777450159801e-16   8.3386410721070011e-17   3.6953793476544097e-20   3.6638772846756558e-14   2.6525510099977154e-13   3.7895582085642730e-14   2.5114125426569491e-09   1.2311590222518946e-15   9.4632666188697032e-19   2.8948107741575603e-14   1.5528467342924978e-11   1.1484895860911693e-30   2.3409781587980093e-17   6.4763875637303522e-16   2.3854144965571028e-12   6.6911117461263071e-13   4.4930151811410837e-14   9.3390352882008799e-14   7.8822477813128101e-20   4.1035521873497846e-27   4.3755007385765333e-28   4.3893965534042958e-19   3.7201908227166147e-21   4.0660957970646028e-20   8.1713449485632585e-19   1.4820879248196132e-09   9.6360526565102957e-14   9.2213736977234015e-13   1.2883349607815664e-10   3.9372733590045049e-20   6.6434202137426364e-13   2.7644867015805149e-12   1.4313012785937947e-14   4.2410793119095181e-11   5.8844254847165243e-12   3.2176062731583006e-15   1.0474221294356226e-13   1.9999955491020561e-02   1.8467683516257207e-11   7.0020854570255859e-13   1.8671823187414971e-11   5.5941381835692128e-14   1.6402165834376095e+00   5.7050257899255685e-01   3.7673743216982286e-01   9.8363921744792082e-02   1.3239108964259311e-03   6.9219165302480154e-04   2.7013199290692959e-04   7.4356131269237360e-05   2.0458827196618202e-05   1.0000000000000001e-05   2.9542086339760576e-05   7.2348181560596853e-06   
