alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8284604539289444e-01   2.7700000000000000e+02   2.5711454125278462e+19   9.9284138999999996e+04   1.8695738941193852e-14   1.5100842506930369e-10   6.2935683290861310e-03   4.8578166286347906e-13   2.3288741169530320e-16   1.2851789551478957e-12   1.1702477086612360e-11   3.3958404511209844e-04   1.3976254321234474e-07   1.0974648873497846e-13   5.1846409831616834e-12   3.3795371987365452e-06   8.6938868031166075e-15   6.6143107221217933e-11   1.0864319168871617e-11   1.3417246887953523e-12   3.4280980885177759e-13   2.4068406208822488e-15   8.5326043497658336e-15   1.7376917840003172e-22   1.4039930824162220e-25   2.5452560911674692e-25   3.0538039462814542e-17   1.1486939996212639e-18   1.9873095802170263e-20   1.8001159257599465e-17   2.0674289371989215e-19   3.0398414226756214e-18   2.2812222521527831e-13   3.1855295288439560e-21   1.1490111813459277e-21   1.0185460117397857e-18   4.1517443140830644e-17   6.6084359143255603e-31   1.0321559440735381e-14   3.3461237643508066e-14   8.7883243943163174e-17   1.6983737917564195e-16   8.9108400211209150e-18   1.3825660148577751e-16   2.0228779670862127e-22   5.4319074406038101e-31   1.0291324664102078e-31   2.7344717767871543e-21   1.2263039904441272e-24   3.8376322337959258e-22   4.2335546855878053e-22   3.6400262232579342e-10   2.1665466958212660e-15   7.3187119593746381e-14   1.2276580493474633e-11   4.9755526692335243e-21   1.2393214898788673e-13   4.6723387586967927e-13   2.8433070857205928e-14   5.6315807598425800e-11   5.0095314264760817e-14   1.8667313781472401e-16   5.0593805877117051e-16   5.5052006248445013e-21   1.2789810310100955e-08   5.8392450795597854e-29   4.0637845394581678e-23   2.2899701915359990e-25   4.3855567663832376e-24   1.2862417856260452e-15   7.3873587244057619e-14   5.2663200115805642e-11   3.3847855883242355e-13   1.1734181976896910e-12   3.6351493357601952e-11   6.3809176262725048e-13   8.8525452728014031e-01   1.4862210899644088e+00   4.5381156154531277e-01   2.2887209144339146e-01   2.7049929839653193e-04   4.7817893896776829e-04   5.4786297612765850e-04   7.1798207881718830e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
7.5000000000000000e-01   9.2533915794984256e-01   2.7300000000000000e+02   2.4561744384717382e+19   9.9284138999999996e+04   1.2853285778355503e-14   6.9174557022487182e-11   4.7167223794523962e-03   4.1868924727670673e-13   1.2163919746669189e-16   5.8214545849502372e-13   9.9067046392371658e-12   3.3958419588050581e-04   1.3974939413139913e-07   1.2295868626408350e-13   4.4997232858381889e-12   3.3793527002717999e-06   7.6893427883964192e-15   6.6143492105172903e-11   1.1631021639848611e-11   7.0573066662404389e-13   3.5732361113204951e-13   9.2597045878697061e-16   7.5441776482577572e-15   6.0687747657447389e-23   2.6557996493394072e-25   4.8104698301277548e-25   3.1048848712611640e-17   1.1536219501933141e-18   1.8693345834632886e-20   1.5388362049453740e-17   2.0353567403022939e-19   2.0464837673223629e-18   2.2817623843702730e-13   2.1221415498736155e-21   7.9800473026525600e-22   1.0788199002736348e-18   4.4076771929093587e-17   5.2065155092868668e-31   3.9886593961003976e-15   1.4165313566051482e-14   7.5884401773881722e-17   1.4295996064007976e-16   8.2823463437315425e-18   1.4946657846907760e-16   1.8734777017183044e-22   8.7666271689337249e-31   1.6714667448457063e-31   2.7281963629100758e-21   1.5930284468041247e-24   3.9558999471006826e-22   4.6158703870398209e-22   3.6509006974273854e-10   4.3456676600892642e-15   9.5561420966519457e-14   1.3468579545431815e-11   6.0176151555257504e-21   1.5426170540240916e-13   3.8917356138675887e-13   3.1651837100861648e-14   8.6499909986979077e-11   8.8709495560991015e-14   2.6440223192069867e-16   5.0588688035178157e-16   3.2595051741449612e-21   1.2835940715906312e-08   2.6916586799821704e-29   2.4187783008874777e-23   2.3517731426045049e-25   4.5763240761136646e-24   1.6041038225477782e-15   8.6198906171558121e-14   7.1470294123707706e-11   3.4925175089328176e-13   1.2282865416559780e-12   3.8772411292314275e-11   6.8043054633274057e-13   7.6476672971617643e-01   1.4861507405982552e+00   4.6239026116715165e-01   2.3314498079742796e-01   2.8573097971862176e-04   4.9491728307697526e-04   5.5595181857292727e-04   7.3195915838695266e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
1.2500000000000000e+00   8.7043043663345099e-01   2.6900000000000000e+02   2.3447832461436641e+19   9.9284138999999996e+04   8.3176799296909155e-15   3.4602436030986166e-11   3.3727555485908627e-03   3.3101640902520624e-13   5.8252820544193657e-17   2.4256507896166480e-13   8.0230218442587879e-12   3.3958444844760997e-04   1.3973888410020080e-07   1.0829698288700086e-13   3.5212337666058682e-12   3.3791602610921283e-06   5.6921903715299064e-15   6.6143618447515075e-11   1.2157878724266763e-11   3.4562871556112406e-13   3.0415784183313490e-13   3.3832384626377355e-16   6.3764968037402869e-15   1.8964466856985293e-23   5.1731884167713057e-25   9.3353292366183930e-25   3.1976207514490435e-17   1.1635475306136124e-18   1.7700239039335509e-20   1.2248379378333890e-17   2.0007083393955443e-19   1.3666049442570856e-18   2.2826106366769426e-13   1.4306057398568515e-21   5.6932818266956736e-22   9.6498953519427508e-19   4.8716236277920252e-17   3.1511194156143925e-31   1.4131462781902416e-15   5.1854374025860925e-15   5.6309077506363399e-17   1.0929752694608062e-16   7.3804949493796334e-18   1.7045584949125480e-16   1.4537717495739453e-22   1.4248138711470632e-30   2.7187984873483236e-31   2.6399402981327236e-21   1.8441800537309929e-24   4.1278107796446408e-22   5.0985250492351036e-22   3.6705491856237838e-10   6.7945874094500309e-15   1.1347366670216616e-13   1.4804907502223167e-11   6.1473899357478820e-21   1.8889075352346237e-13   2.8633160335180710e-13   2.8485738602455640e-14   1.1380726916803998e-10   1.4803820512565540e-13   3.3781898067879930e-16   5.0589645646846038e-16   2.1732879338399605e-21   1.2884246582370027e-08   2.3765393873015489e-29   1.3482586070210015e-23   2.5001996337562287e-25   4.9353302908748554e-24   2.1526042602135150e-15   1.0366697167082328e-13   8.6844230836310134e-11   3.6923461600805119e-13   1.3333592935602211e-12   4.3722057064353007e-11   7.6715046871526234e-13   6.4959494786156158e-01   1.5401175021292735e+00   4.9777141033727768e-01   2.5093793396374986e-01   3.0524012443239253e-04   5.1295032115101298e-04   5.6447300640395464e-04   7.4680115076938575e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
1.7500000000000000e+00   8.1803789451278952e-01   2.6500000000000000e+02   2.2369097470954050e+19   9.9284138999999996e+04   5.4079485068639128e-15   1.8798828303371492e-11   2.3872731427513430e-03   2.7319695635474775e-13   3.0531290565066288e-17   1.0459629090386094e-13   6.5533817824310464e-12   3.3958475113897018e-04   1.3972893550563078e-07   8.9547634648162392e-14   2.6396400400498269e-12   3.3789589052240581e-06   4.0877493141210594e-15   6.6143513239632526e-11   1.2472367743341989e-11   1.6413552071589306e-13   2.4493148798302915e-13   1.2618265855097850e-16   5.4381745848710951e-15   6.0765526677177717e-24   9.2385878236892637e-25   1.6599542968922899e-24   3.3227909330450085e-17   1.1778356901604440e-18   1.6865354711276775e-20   9.4189166301386135e-18   1.9783430985022703e-19   9.1966364522315732e-19   2.2836380484974546e-13   1.0291660419885222e-21   4.3613262960309779e-22   8.6357926615735256e-19   5.5105744889702324e-17   1.9291126575776846e-31   5.2910935809951728e-16   1.9536862179038438e-15   3.7721042270075590e-17   7.7473571130812204e-17   6.5750373156534473e-18   1.9984377700461477e-16   1.0937729277776106e-22   2.3144943006684658e-30   4.4095497902658728e-31   2.7469243892678983e-21   1.9099891186098659e-24   4.3039782188614390e-22   5.5580217003390664e-22   3.6969598002427615e-10   9.8008125468338061e-15   1.3260998942152301e-13   1.6111100399264347e-11   6.1231259318693775e-21   2.2357661692392691e-13   2.0138075114024139e-13   2.3652248459687480e-14   1.3989517562725208e-10   2.5034757751365577e-13   4.1160429157858762e-16   5.0604569260420606e-16   1.9096105426229933e-21   1.2934864647584080e-08   3.4307192843096851e-29   7.5108221696177932e-24   2.7258343395094982e-25   5.4393004015361996e-24   2.8773268801527589e-15   1.2221953590714998e-13   1.0106732674524482e-10   4.0141664642413083e-13   1.4883972359452795e-12   5.1630378121289266e-11   9.0579954384359649e-13   5.9205788758763966e-01   1.6401035868579170e+00   5.6076439083777396e-01   2.8265952220029300e-01   3.2503905627284235e-04   5.3240323500037764e-04   5.7345722323389511e-04   7.6258074848130692e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
2.2500000000000000e+00   7.6808100042887084e-01   2.6100000000000000e+02   2.1324920884804014e+19   9.9284138999999996e+04   3.7566056407195572e-15   1.0877171978695748e-11   1.6718062493247929e-03   2.4377909224656857e-13   1.8759925939186113e-17   4.8237092991993924e-14   5.4309495098021594e-12   3.3958508485683385e-04   1.3971869508119357e-07   7.5136341609888553e-14   1.9482416574863141e-12   3.3787478923569058e-06   3.0290319979588649e-15   6.6143273548072529e-11   1.2625923752897653e-11   7.7666119990968858e-14   1.9980912262692667e-13   5.0186455726362401e-17   4.7165824507181823e-15   2.3062769712117130e-24   1.4790006376352890e-24   2.6461266818787806e-24   3.4750321884804187e-17   1.1959197714039857e-18   1.6121496874688903e-20   7.1271478210587081e-18   1.9703593296745431e-19   6.3560492989545647e-19   2.2847867897540619e-13   8.0976494386435650e-22   3.6617205469537639e-22   8.3851282983961896e-19   6.3052501412656169e-17   1.3157178656195963e-31   2.1850965364578476e-16   8.0498206728677340e-16   2.3664701556457190e-17   5.2139320714362016e-17   6.0607676580170035e-18   2.3699197705936870e-16   8.4849120081268113e-23   3.7398717106195213e-30   7.1061790700206893e-31   3.1320414888268524e-21   1.8429535391473399e-24   4.4486044022168182e-22   5.9519731104332994e-22   3.7288619922588578e-10   1.3558501891882087e-14   1.5203061084678724e-13   1.7277909612435170e-11   6.4735765532904963e-21   2.5757900911657925e-13   1.4438780804705165e-13   1.9388842478345475e-14   1.6498594987588190e-10   4.3110708852299210e-13   4.8763346927088581e-16   5.0639630888738997e-16   2.0198275784611546e-21   1.2987942496447987e-08   5.6371071304531344e-29   4.4451348259479985e-24   3.0137564179261584e-25   6.0784101631379204e-24   3.7307170410977636e-15   1.4002585338420083e-13   1.1513416898651112e-10   4.4516009681275329e-13   1.6760200548665618e-12   6.2462846127005917e-11   1.0957795699301730e-12   5.5991496518783235e-01   1.7606401496973876e+00   6.4674913675106560e-01   3.2598205153648785e-01   3.4618111232211036e-04   5.5341558242952434e-04   5.8293819650943001e-04   7.7937900424029794e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
2.7500000000000000e+00   7.2045841620048667e-01   2.5675000000000000e+02   2.0333838990742327e+19   9.9284138999999996e+04   2.9863280389430547e-15   6.5944734964432242e-12   1.1311665659993464e-03   2.3282020241225120e-13   1.3768171008987857e-17   2.3588639799438807e-14   4.5424811054944960e-12   3.3958544280292426e-04   1.3970787750149179e-07   6.4967707791576079e-14   1.4344738617758755e-12   3.3785266370412093e-06   2.3779134313535778e-15   6.6142956995235192e-11   1.2657417085535808e-11   3.7454413900348144e-14   1.6768841469883336e-13   2.2833053642983849e-17   4.1399256256039505e-15   1.3077845653647059e-23   2.1601891946438658e-24   3.8505916923191907e-24   3.6517781520125053e-17   1.2174891507413165e-18   1.5360802084615988e-20   5.3672946993745122e-18   1.9748419147381300e-19   4.7002491482657282e-19   2.2860324969036915e-13   7.1193241739425509e-22   3.4411813685537471e-22   9.0662557742338287e-19   7.2457942643911955e-17   1.0132312732702487e-31   1.0048648077565474e-16   3.6914779640957270e-16   1.4243501001269031e-17   3.4097081482525759e-17   5.9309499817269862e-18   2.8186780433271093e-16   6.9652249916037389e-23   6.0456786972331852e-30   1.1445972904388790e-30   3.8606988555551218e-21   1.7210198933282902e-24   4.5375683130073930e-22   6.2715021960251745e-22   3.7654479807440145e-10   1.7920477218736797e-14   1.6784994639980948e-13   1.8254213937461609e-11   7.9258245771893861e-21   2.8857474611057678e-13   1.1363672593898343e-13   1.6444582945963469e-14   1.8857229746137403e-10   7.2627962319933080e-13   5.6671580966569833e-16   5.0700874370826409e-16   2.2985885262817448e-21   1.3043613355337036e-08   9.4586766058027900e-29   2.9602385477549054e-24   3.3515622373830789e-25   6.8540173004922942e-24   4.6451678848127434e-15   1.5559981639875568e-13   1.2945291406723951e-10   4.9840199871785624e-13   1.8731477205928567e-12   7.5978209204984234e-11   1.3328692887811563e-12   5.4141288372680585e-01   1.8762701540037978e+00   7.5012751095617858e-01   3.7808548313009510e-01   3.6903553430451446e-04   5.7629665076960402e-04   5.9338152675247424e-04   7.9777295914030250e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
3.2500000000000000e+00   6.7505224554738386e-01   2.5225000000000000e+02   1.9392201937558610e+19   9.9284138999999996e+04   2.8248146345444153e-15   4.1446900371192794e-12   7.3733101686310133e-04   2.3239143284397881e-13   1.1826694697369021e-17   1.2081142482339143e-14   3.8230461252309047e-12   3.3958582261485188e-04   1.3969642196548725e-07   5.7399908455588924e-14   1.0621656102962709e-12   3.3782946582659237e-06   1.9946935573688426e-15   6.6142591628358918e-11   1.2587346029690465e-11   1.9003089523131377e-14   1.4357307268402815e-13   1.2548764933895303e-17   3.6661380472692890e-15   1.9954410032215882e-21   2.9602914100754262e-24   5.2620101795493626e-24   3.8519192577449068e-17   1.2424342240333459e-18   1.4573026823674354e-20   4.0620560687787409e-18   1.9894658996016975e-19   3.8476223752495789e-19   2.2873657862935145e-13   7.0012393697070897e-22   3.6194096730807140e-22   1.0774785035621905e-18   8.3277350320083779e-17   8.6819608097948022e-32   5.1373815686152442e-17   1.8858592410916205e-16   8.3729712960877122e-18   2.2296235153447528e-17   6.2450667710470328e-18   3.3481328504957469e-16   6.1074735162940178e-23   9.8210724503230928e-30   1.8509902221547647e-30   5.0057140330397688e-21   1.6130118236925428e-24   4.5584062081559715e-22   6.5207470076317765e-22   3.8060798051394597e-10   2.2677635596052563e-14   1.7834697956507973e-13   1.9021163785802339e-11   1.1609945902202383e-20   3.1532289725186455e-13   1.0198887017041274e-13   1.4933481490042701e-14   2.1032292798991115e-10   1.1443092307958936e-12   6.4926406439233323e-16   5.0794770130671350e-16   2.6758219186803569e-21   1.3101992551543417e-08   1.5894834053046068e-28   2.3023617580906261e-24   3.7334010685143238e-25   7.7747806273345501e-24   5.5557829156772884e-15   1.6822930861810809e-13   1.4419875427349256e-10   5.6055770398629452e-13   2.0645906273804301e-12   9.2147255905561803e-11   1.6165699459889536e-12   5.5313213242312298e-01   1.9722639575718413e+00   8.6763325951555959e-01   4.3732538424156608e-01   3.8974560621208605e-04   6.0126956604388503e-04   6.0489539932926121e-04   8.1794972955616312e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
3.7500000000000000e+00   6.3179452963244254e-01   2.4800000000000000e+02   1.8460569472663699e+19   9.9284138999999996e+04   3.0974372210139184e-15   2.6789707492840589e-12   4.8510974968880437e-04   2.4110474745279093e-13   1.1567532231772170e-17   6.5381262804585659e-15   3.2316132228773770e-12   3.3958622410216186e-04   1.3968433670372955e-07   5.2093458659556604e-14   7.9496763901305313e-13   3.3780512217364044e-06   1.7894181579347201e-15   6.6142190097311092e-11   1.2420699164043173e-11   1.0671045669519708e-14   1.2547596032431236e-13   8.1686842133965265e-18   3.2688973399024873e-15   1.0198797031573183e-19   3.8520460042391983e-24   6.8335997704010884e-24   4.0753083233094192e-17   1.2707871565515501e-18   1.3881055038138648e-20   3.1228291341310676e-18   2.0124880149088999e-19   3.4746587803071470e-19   2.2887859489956934e-13   7.5328871471676938e-22   4.1547896783191568e-22   1.3807862738249929e-18   9.5499063408585469e-17   8.3013032456152035e-32   2.9064535890249476e-17   1.0673758370299653e-16   4.8763153006893135e-18   1.4959512960184831e-17   7.0629523893396871e-18   3.9645644650387411e-16   5.7400620328396074e-23   1.5918062904723351e-29   2.9858239327146157e-30   6.7087508375899117e-21   1.5549235117248116e-24   4.5089437116465861e-22   6.7062551412027448e-22   3.8502125933361907e-10   2.8004385129396886e-14   1.8570305991930020e-13   1.9570369690789393e-11   1.9029366504315019e-20   3.3998761503757866e-13   1.0198045793121349e-13   1.4689065411452474e-14   2.3004489651361316e-10   1.6570362965873958e-12   7.3564552016123109e-16   5.0928558026256983e-16   3.1529844405142663e-21   1.3163262184505874e-08   2.6110892225943218e-28   2.0820764428094431e-24   4.1587076945264743e-25   8.8555551838447195e-24   6.4377218450584535e-15   1.7849995605973182e-13   1.5947303781116051e-10   6.3147956127198566e-13   2.2405063605237654e-12   1.1106332681007311e-10   1.9485343876282906e-12   5.7261801833828518e-01   2.0374888326609004e+00   9.9550267734507458e-01   5.0180643884642950e-01   4.1095706214916943e-04   6.2824678920566149e-04   6.1665464897124296e-04   8.3904437740431483e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
4.2500000000000000e+00   5.9065874934129636e-01   2.4400000000000000e+02   1.7541540429475424e+19   9.9284138999999996e+04   3.7453473228146341e-15   1.7722757855122412e-12   3.2271799879982104e-04   2.5653702122890745e-13   1.2379694748973071e-17   3.7378962441176608e-15   2.7400812259458997e-12   3.3958664832271405e-04   1.3967164196187405e-07   4.8156927931749696e-14   6.0290259553652501e-13   3.3777952862921846e-06   1.6805084290773913e-15   6.6141757653690391e-11   1.2156320172333990e-11   6.9763603458822040e-15   1.1088827398835129e-13   6.0009084975650351e-18   2.9306599800781325e-15   1.5229215974228665e-18   4.8374128681075952e-24   8.5706081580709689e-24   4.3227368210241660e-17   1.3026981071904816e-18   1.3281512557025519e-20   2.4709025596750753e-18   2.0427931838401759e-19   3.3692478851613732e-19   2.2902976916536756e-13   8.6253189026216701e-22   5.0661454468774360e-22   1.8253343094817397e-18   1.0911879155440640e-16   8.5590197088317641e-32   1.7752442082766040e-17   6.5380085517361001e-17   2.8388336863814883e-18   1.0263910048741119e-17   8.4559885680255903e-18   4.6776931806011405e-16   5.6620770923805221e-23   2.5683384851901258e-29   4.7932861228792734e-30   9.1621152706431482e-21   1.5368616132012273e-24   4.3933885900931782e-22   6.8292545718281571e-22   3.8974360467681285e-10   3.4060498054223731e-14   1.9114223844081880e-13   1.9901248249989772e-11   3.3335717749383629e-20   3.6351572337551528e-13   1.0804339897801133e-13   1.5479895714468315e-14   2.4762239898548729e-10   2.2203142315254997e-12   8.2627600993188474e-16   5.1110400127904017e-16   3.7389565538266516e-21   1.3227682818576658e-08   4.2001388205104423e-28   2.0845151105633233e-24   4.6286495259890324e-25   1.0118260620017655e-23   7.2840097457334196e-15   1.8682380078363529e-13   1.7535566555916360e-10   7.1110906038368410e-13   2.3948496790525269e-12   1.3290746880903170e-10   2.3319558260452729e-12   5.9298889322824755e-01   2.0694262294311594e+00   1.1319930901657740e+00   5.7065169170890762e-01   4.3377522394400143e-04   6.5740908783512347e-04   6.2864376047223403e-04   8.6110466492069285e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
4.7500000000000000e+00   5.5159305630084343e-01   2.4000000000000000e+02   1.6654379719228369e+19   9.9284138999999996e+04   4.7980763980136647e-15   1.1978624084974728e-12   2.1176316203828211e-04   2.7593149551456585e-13   1.3967270325910361e-17   2.2441401814840195e-15   2.3286967908380423e-12   3.3958709665845113e-04   1.3965836970141534e-07   4.4757836757444433e-14   4.6380277626481690e-13   3.3775258456128854e-06   1.6103224026513894e-15   6.6141297127829089e-11   1.1789219230942048e-11   5.4455475237667650e-15   9.7891003920989126e-14   4.7879032514828298e-18   2.6395665523938665e-15   9.8453849359288340e-18   5.9530585267311815e-24   1.0539699251173576e-23   4.5953914757225552e-17   1.3383623737432446e-18   1.2701448245828564e-20   2.0430275968069051e-18   2.0797393718190138e-19   3.4051695138807212e-19   2.2919074168617264e-13   1.0260621099635569e-21   6.4228341448043902e-22   2.3834196366617194e-18   1.2409543382669690e-16   9.1086533496388780e-32   1.1390675245064043e-17   4.2207379245559626e-17   1.6617496962594973e-18   7.0630144959905096e-18   1.0502028881618550e-17   5.4995298311993250e-16   5.7073983864070573e-23   4.1322484736723094e-29   7.6671724168602655e-30   1.2634823835608739e-20   1.5338348469379166e-24   4.2198460676795191e-22   6.8872663990403799e-22   3.9473710654640795e-10   4.0909519721207630e-14   1.9475893409752244e-13   2.0016105009211738e-11   6.1609693333330246e-20   3.8529715866682844e-13   1.1649163189739247e-13   1.7094635663941220e-14   2.6295825919106817e-10   2.7923096124934698e-12   9.2153186274830804e-16   5.1349311186317332e-16   4.4438277923269958e-21   1.3295506807079146e-08   6.7162738112789342e-28   2.1935058049581245e-24   5.1442368093685937e-25   1.1590292882630583e-23   8.0891411949672143e-15   1.9309438021728474e-13   1.9190370702530444e-10   7.9926090788421757e-13   2.5240716463412411e-12   1.5790587977762035e-10   2.7708225877263187e-12   6.1353665000799040e-01   2.0707806718136017e+00   1.2768898185912982e+00   6.4375444774630008e-01   4.5853933084469528e-04   6.8914783932862286e-04   6.4136797630610747e-04   8.8478069776333097e-05   1.0000000000000001e-05   1.0000000000000001e-05   4.0161280071567199e-05   1.4237226789737317e-05   
