alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       C2H6S2                   C2H6S                    CH3S                     CH3SH                    SO4AER                   S8AER                    HCAER                    HCAER2                   CO2                      N2                       SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e+04   9.8097288893037360e-01   2.5929320000000001e+02   2.7402021000000000e+19   1.0000000000000000e+05   2.7014758000000002e-13   1.0000000000000000e-08   1.4439000999999999e-03   6.4267571999999996e-14   5.3246278999999997e-16   3.8808105999999998e-11   5.8439430000000001e-09   2.5747410999999999e-04   1.2000000000000000e-04   3.4246432000000002e-13   2.0837690999999998e-09   2.0000000000000000e-03   2.5109825000000001e-13   2.4623990000000001e-06   5.8149002000000003e-12   1.4306411000000000e-11   3.1484024000000001e-13   8.6446905000000001e-13   1.2239682999999999e-13   2.9304852000000001e-43   3.3928510000000001e-15   3.2475374000000000e-15   1.9486704000000001e-13   1.2341042000000000e-14   4.6750422000000002e-17   4.4737849000000001e-09   8.3048537000000002e-15   1.3448325999999999e-13   2.6734717000000000e-09   3.2314811000000002e-14   4.4491518000000002e-16   1.1176795999999999e-15   2.5166277000000002e-11   9.7060704000000006e-30   0.0000000000000000e+00   7.8267441000000004e-13   2.4860322000000001e-12   1.9912503999999998e-12   1.3138235000000000e-12   2.8028061000000000e-12   1.5824023000000001e-19   4.9423527999999997e-24   0.0000000000000000e+00   1.0664502000000000e-17   7.6051327000000004e-20   1.5238415000000000e-13   1.9270271000000001e-14   6.9761691000000000e-10   1.8757905000000000e-15   8.6488456000000006e-14   1.9507468999999998e-11   4.0933396999999997e-18   7.3942681000000002e-14   5.5829028000000004e-12   5.7824727999999997e-13   1.7994098999999999e-10   2.2366844999999999e-12   9.6565539999999994e-14   2.2112302000000001e-09   1.3075593999999999e-14   5.6137374999999995e-10   1.7357389000000000e-12   4.3745831000000001e-11   7.2445701000000003e-20   9.9999999999999996e-39   2.0000000000000000e-02   9.7617613449594587e-01   3.8568945000000001e+00   5.7189331000000001e+00   2.8419369999999999e-02   5.0212496000000004e-21   2.8660064000000002e-04   1.7456190999999999e-03   1.0751033000000000e-06   1.0751033000000000e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
7.5000000000000000e+04   9.1902533384121421e-01   2.5484858000000000e+02   2.6119327000000000e+19   1.0000000000000000e+05   3.0892718999999999e-13   9.4576429999999997e-10   9.5457617000000003e-04   7.2611025000000004e-14   5.1436658000000004e-16   3.3543468000000000e-11   4.5581140000000001e-09   2.5750518999999999e-04   1.1999021000000000e-04   3.3006627000000001e-12   1.6926913999999999e-09   1.9999893999999999e-03   1.4279299000000001e-12   2.4625489000000001e-06   6.5468631999999997e-12   1.1373664000000001e-11   2.5985017000000001e-12   9.0779934000000005e-14   9.9559810999999997e-14   3.6850916999999999e-41   4.3579993000000003e-15   4.7588765000000004e-15   1.8745658000000000e-13   1.6997724000000000e-14   2.0140719999999999e-17   4.4711431000000001e-09   2.0312926000000001e-14   1.1166529000000000e-13   2.6766167000000000e-09   2.8238606000000000e-14   3.9633415000000002e-16   1.0178716000000000e-14   2.5514445000000001e-11   5.1739447999999995e-29   0.0000000000000000e+00   9.5632361000000005e-13   9.8124162000000001e-12   2.1704854999999998e-12   1.4674732000000000e-12   2.8369005000000000e-12   7.6226004999999997e-19   8.2585451000000002e-24   0.0000000000000000e+00   1.2543354000000000e-17   2.2401496999999999e-20   5.5835518999999998e-14   2.0784035000000000e-14   7.2918863000000004e-10   8.3340030999999996e-15   2.5652185000000001e-13   4.0151560000000001e-11   5.6872330000000001e-18   1.6421272999999999e-13   2.1567515000000000e-11   4.7382484999999997e-13   1.8616348999999999e-10   3.1801161999999998e-12   1.2577380000000000e-13   2.1500491000000002e-09   1.7381431999999999e-14   5.7688445000000005e-10   1.6134907000000000e-12   4.6650427999999997e-11   7.5762858999999994e-20   9.9999999999999996e-39   2.0000000000000000e-02   9.7666545827769313e-01   2.9538859000000000e+00   5.8131746000000000e+00   2.8329413000000001e-02   4.7862039000000001e-21   3.0584657000000003e-04   1.7937185999999999e-03   1.1437954000000000e-06   1.1437954000000000e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.2500000000000000e+05   8.5998949222160537e-01   2.5021261000000001e+02   2.4894343000000000e+19   1.0000000000000000e+05   7.3907436999999998e-14   3.7292620000000001e-11   6.1029311999999999e-04   4.1734147000000000e-14   1.9378032000000001e-16   6.9985578999999996e-12   2.2574029000000002e-09   2.5753711000000001e-04   1.1998892000000000e-04   8.3767222000000007e-12   1.3301233000000000e-09   1.9999801000000002e-03   8.8604778000000002e-13   2.4626917000000001e-06   8.2768992999999996e-12   2.3552397000000002e-12   9.9876455000000004e-12   2.1303575999999998e-15   5.7594454999999997e-14   3.9686476000000002e-39   4.9781394000000002e-15   6.0957704000000000e-15   1.6265976000000000e-13   1.0959281000000000e-14   1.4275110000000000e-17   4.4660657000000004e-09   1.2812401999999999e-14   9.3685817000000005e-14   2.6823410000000000e-09   2.0752016000000000e-14   2.9610091000000000e-16   4.0527298999999999e-14   2.6375233000000001e-11   1.9358885000000000e-29   0.0000000000000000e+00   1.1469360999999999e-12   6.4331686000000001e-12   1.7463554000000000e-12   1.7016890000000000e-12   2.8878748999999999e-12   5.9252487999999996e-19   7.8965873000000007e-24   0.0000000000000000e+00   8.3749567000000002e-18   1.6542958000000000e-20   2.4973364000000000e-14   2.5445785000000000e-14   7.8137250999999997e-10   1.8107428000000000e-14   1.0667975000000000e-12   1.0970067000000001e-10   4.3173719999999998e-19   3.7502255000000001e-13   8.5456259999999994e-11   6.2817241000000002e-14   4.2614017000000001e-11   2.8583421000000001e-12   1.9587789000000001e-13   2.1021580999999999e-09   1.6231173000000001e-14   5.9950153000000004e-10   1.3909901000000000e-12   5.2501909999999997e-11   8.1582058000000004e-20   9.9999999999999996e-39   2.0000000000000000e-02   9.7700972342803416e-01   2.1485365999999999e+00   6.2355035000000001e+00   2.9074653999999998e-02   4.5617332000000002e-21   3.2640423999999999e-04   1.8462792000000000e-03   1.2184172000000000e-06   1.2184172000000000e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.7500000000000000e+05   8.0396524277473058e-01   2.4749334999999999e+02   2.3528295000000000e+19   1.0000000000000000e+05   1.5876016999999999e-14   1.4969741000000000e-12   4.6546419999999997e-04   3.2161344000000003e-14   8.1486819000000005e-17   5.6963401000000004e-13   1.0605028000000001e-09   2.5756994000000001e-04   1.1999101000000000e-04   7.9319955000000004e-12   9.3436661999999999e-10   1.9999706000000000e-03   3.6922828999999998e-13   2.4627928000000001e-06   9.3969954000000002e-12   1.9149450000000000e-13   1.1563056000000000e-11   3.7325002999999998e-17   3.1491305999999998e-14   2.4531771000000002e-37   3.6342680000000001e-15   4.8059548999999998e-15   1.3055375999999999e-13   4.9956575000000001e-15   1.4691194999999999e-17   4.4605318999999999e-09   5.1355951000000002e-15   7.6952223000000000e-14   2.6878581000000001e-09   1.3832348999999999e-14   2.0187866000000001e-16   3.5163827999999997e-14   2.6224568000000001e-11   5.6884009000000003e-30   0.0000000000000000e+00   1.1888796999999999e-12   2.3161123000000000e-12   1.4291469999999999e-12   1.8694962999999999e-12   2.9227663000000000e-12   2.5122110999999998e-19   6.5628864999999997e-24   0.0000000000000000e+00   7.2087490000000000e-18   1.1554431000000001e-20   1.3255409000000000e-14   2.5793472999999999e-14   8.4381073999999999e-10   3.4361490000000001e-14   1.9568037000000000e-12   1.3703591000000000e-10   7.1183422999999997e-21   6.3174963000000004e-13   5.9186293999999998e-11   5.8653941999999997e-15   4.9317763999999998e-12   1.1016727000000000e-12   3.0358018999999998e-13   2.0592182000000001e-09   1.9938645999999999e-14   6.1914052000000004e-10   1.2171625999999999e-12   6.1541199000000002e-11   9.0592061000000005e-20   9.9999999999999996e-39   2.0000000000000000e-02   9.7715452845594042e-01   1.6223008000000001e+00   6.9079974000000002e+00   3.0514049000000001e-02   4.3114134999999997e-21   3.4633689000000001e-04   1.8944728000000000e-03   1.3007920000000001e-06   1.3007920000000001e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.2500000000000000e+05   7.5108954251035309e-01   2.4525540000000001e+02   2.2181446000000000e+19   1.0000000000000000e+05   1.2552390999999999e-14   8.1182601999999999e-14   3.7062074999999998e-04   2.7726185000000001e-14   4.5229254000000001e-17   5.6735882000000003e-14   4.8717700000000004e-10   2.5760409000000000e-04   1.1999443000000001e-04   6.7754801999999998e-12   6.1350079000000000e-10   1.9999606000000001e-03   2.3243445999999998e-13   2.4628780000000000e-06   1.0879742000000000e-11   2.1980842000000001e-14   1.1179057999999999e-11   6.9957769000000000e-19   1.6820077000000000e-14   8.4131767000000003e-36   2.3249577999999998e-15   3.2655015000000000e-15   9.9705064999999997e-14   2.2277419999999998e-15   1.3007997000000000e-17   4.4549581999999999e-09   2.2893470000000002e-15   6.3453577999999997e-14   2.6934648999999998e-09   9.4009818999999996e-15   1.4107614999999999e-16   2.6205113999999999e-14   2.5710219000000001e-11   2.4478319000000001e-30   0.0000000000000000e+00   1.1474684000000000e-12   1.0050499000000000e-12   1.1781145000000001e-12   2.0546993000000001e-12   2.9425815999999999e-12   1.2766785999999999e-19   5.6076299000000001e-24   0.0000000000000000e+00   6.6587733999999998e-18   7.1306520000000000e-21   7.9361796000000004e-15   2.2214302999999999e-14   8.9897422999999997e-10   5.4033978000000001e-14   2.4548018999999999e-12   1.1550329999999999e-10   9.4486325999999991e-22   8.6847077000000003e-13   3.8479680000000002e-11   5.2679133999999998e-16   1.6052346999999999e-12   7.5959821999999996e-13   4.5381570000000002e-13   2.0184871000000000e-09   2.8525402000000000e-14   6.3704664999999995e-10   1.0904546999999999e-12   7.3164697000000000e-11   1.0284739000000000e-19   9.9999999999999996e-39   2.0000000450827237e-02   9.7724934469953972e-01   1.2666168000000000e+00   7.7426064999999999e+00   3.2658961000000000e-02   4.0646117999999998e-21   3.6722277000000002e-04   1.9440264999999999e-03   1.3901408000000000e-06   1.3901408000000000e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.7500000000000000e+05   7.0125840199105072e-01   2.4298579000000001e+02   2.0903255000000000e+19   1.0000000000000000e+05   1.6507229000000001e-14   1.4351601999999999e-14   2.9286919999999998e-04   2.3627295000000000e-14   2.7407063999999999e-17   1.8138305000000001e-14   2.1884877999999999e-10   2.5763985000000001e-04   1.1999861000000000e-04   5.5331212999999997e-12   3.9043406000000001e-10   1.9999500999999999e-03   1.7470030000000000e-13   2.4629565000000001e-06   1.2864140000000000e-11   1.1069103999999999e-14   1.0367252000000001e-11   4.2287657999999997e-20   8.7799005000000004e-15   1.7685668000000001e-34   1.5682754000000000e-15   2.3369951000000000e-15   7.4083647999999998e-14   1.1166395000000000e-15   1.0306095000000000e-17   4.4494287000000000e-09   1.2679272000000000e-15   5.5881274000000002e-14   2.6993332999999998e-09   6.7245761000000000e-15   1.0398620999999999e-16   2.2407159999999999e-14   2.5122850000000000e-11   1.2824176999999999e-30   0.0000000000000000e+00   1.0752793000000000e-12   5.2993325999999999e-13   9.7268117000000008e-13   2.2632566999999999e-12   2.9514128999999999e-12   7.8265504000000003e-20   4.8105743000000001e-24   0.0000000000000000e+00   6.0307776000000001e-18   4.4419802000000002e-21   4.9722606000000000e-15   1.7692718000000001e-14   9.3358638000000009e-10   7.3732548000000001e-14   2.6488705000000001e-12   8.3450067000000000e-11   8.9177498000000005e-22   1.0609331000000000e-12   3.3156074000000000e-11   5.7891961999999997e-17   1.2879159999999999e-12   8.4239895000000003e-13   6.5013110000000001e-13   1.9787821999999999e-09   3.8005414999999999e-14   6.5425676000000001e-10   9.9343430000000000e-13   8.6380299000000001e-11   1.1798216000000000e-19   9.9999999999999996e-39   1.9999999521605607e-02   9.7732706816450698e-01   1.0529919999999999e+00   8.6143868000000001e+00   3.5306079999999997e-02   3.8303912000000001e-21   3.8575995000000000e-04   1.9974022999999998e-03   1.4866310000000001e-06   1.4866310000000001e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.2500000000000000e+05   6.5443938644392863e-01   2.4200667000000001e+02   1.9586589000000000e+19   1.0000000000000000e+05   2.1406589999999999e-14   1.1968718000000001e-14   2.6389723999999999e-04   2.0583274000000000e-14   1.8885776000000001e-17   8.5274313999999996e-15   9.6306356999999999e-11   2.5767758000000001e-04   1.2000332000000000e-04   4.5269067999999999e-12   2.5079983000000002e-10   1.9999389000000000e-03   1.5602728000000000e-13   2.4630326000000001e-06   1.5088005999999999e-11   1.0011172000000000e-14   9.4342684000000002e-12   3.0639493999999998e-20   4.4836289000000000e-15   2.6253693000000000e-33   1.2087244000000000e-15   1.9197250999999998e-15   5.4632727999999998e-14   6.9481821000000004e-16   7.7172040999999993e-18   4.4439862999999997e-09   9.1385033999999999e-16   5.3026269999999999e-14   2.7055572999999999e-09   5.1364036999999997e-15   8.1685593999999999e-17   2.2295017000000001e-14   2.4578624999999999e-11   8.8853169000000003e-31   0.0000000000000000e+00   9.9791519999999991e-13   3.5620253000000002e-13   8.5520533000000002e-13   2.4963770000000002e-12   2.9518678000000000e-12   6.1036745999999996e-20   4.1375354999999997e-24   0.0000000000000000e+00   5.3812203000000003e-18   3.0318803000000000e-21   3.1005638000000001e-15   1.3475447000000001e-14   9.4505717000000005e-10   9.0955976999999997e-14   2.6699981999999999e-12   5.8258484000000005e-11   1.0081194000000001e-21   1.2144597000000001e-12   3.3925189000000001e-11   1.7731505999999999e-17   1.2007002000000000e-12   1.1122374000000000e-12   8.9178710000000002e-13   1.9391218000000000e-09   4.7470301000000001e-14   6.7139068999999997e-10   9.1637688999999992e-13   1.0054553000000000e-10   1.3604938000000000e-19   9.9999999999999996e-39   2.0000000000000000e-02   9.7735600861263250e-01   8.8399762999999998e-01   9.3954442000000000e+00   3.8148248000000003e-02   3.5891203000000000e-21   4.0495191999999998e-04   2.0488182000000001e-03   1.5916247999999999e-06   1.5916247999999999e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.7500000000000000e+05   6.1060380323415142e-01   2.4127885000000001e+02   1.8329768000000000e+19   1.0000000000000000e+05   2.7187428000000001e-14   1.4178384000000000e-14   2.4393523000000000e-04   1.9123106000000001e-14   1.5475895000000000e-17   4.3020192999999998e-15   4.1536733000000001e-11   2.5771763000000000e-04   1.2000849000000000e-04   3.8259355000000000e-12   1.7030260999999999e-10   1.9999269999999999e-03   1.6084493999999999e-13   2.4631080000000000e-06   1.7276901999999999e-11   1.0862713000000000e-14   8.5893119999999998e-12   3.8643667000000003e-20   2.2407006000000002e-15   3.0553135000000002e-32   1.0670919000000000e-15   1.8091515999999999e-15   4.0770302000000002e-14   5.4518827000000001e-16   5.6273188000000000e-18   4.4386677000000000e-09   8.1784942999999997e-16   5.2399987999999999e-14   2.7122034000000001e-09   4.2049103999999999e-15   6.8523135000000005e-17   2.4546742000000000e-14   2.4120618999999998e-11   7.9063618000000001e-31   0.0000000000000000e+00   9.2796670000000005e-13   2.8849115000000002e-13   7.7037916999999998e-13   2.7565819999999999e-12   2.9457418000000002e-12   5.7070805000000003e-20   3.6128412999999998e-24   0.0000000000000000e+00   5.0649940000000002e-18   2.3345952000000001e-21   1.8988967000000000e-15   9.8891580999999995e-15   9.3746903000000009e-10   1.0825681000000000e-13   2.6498767000000001e-12   4.2458887999999999e-11   1.1691846000000000e-21   1.3540460000000000e-12   3.6018087000000003e-11   1.4072743000000000e-17   1.1371308000000001e-12   1.4746823999999999e-12   1.1757963000000000e-12   1.8987814000000000e-09   5.6140802000000002e-14   6.8868515000000003e-10   8.5352769000000000e-13   1.1530057000000000e-10   1.5730051000000000e-19   9.9999999999999996e-39   2.0000000545560642e-02   9.7737593684432755e-01   7.5004241000000005e-01   1.0082871000000001e+01   4.1276829000000001e-02   3.3588158000000001e-21   4.2543449999999999e-04   2.1030820000000000e-03   1.7046887000000000e-06   1.7046887000000000e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.2500000000000000e+05   5.6963772784491884e-01   2.4111613000000000e+02   1.7111544000000000e+19   1.0000000000000000e+05   3.3996138000000001e-14   1.6915249999999999e-14   2.3921445000000001e-04   1.9453118999999999e-14   1.5260401000000000e-17   2.5131619000000001e-15   1.7590091000000002e-11   2.5776028000000002e-04   1.2001412000000000e-04   3.4699849000000001e-12   1.2975533000000001e-10   1.9999141999999998e-03   1.8464316000000000e-13   2.4631837000000001e-06   1.9152702999999999e-11   1.2617543000000000e-14   8.0547003999999998e-12   4.8353983999999999e-20   1.0978494000000000e-15   2.9502261000000000e-31   1.0328112000000001e-15   1.8605073000000000e-15   3.1475066000000000e-14   5.1267939999999999e-16   4.1506962000000003e-18   4.4335177000000003e-09   8.4896413000000004e-16   5.2991283999999999e-14   2.7193158000000000e-09   3.6776120999999998e-15   6.1016643000000001e-17   2.8419236999999999e-14   2.3765646000000000e-11   8.8904170000000005e-31   0.0000000000000000e+00   8.6930836000000000e-13   2.7063870999999999e-13   7.1582849000000005e-13   3.0458733000000001e-12   2.9343230000000001e-12   6.1597079000000004e-20   3.2724685999999998e-24   0.0000000000000000e+00   5.1272727000000001e-18   2.0950077000000002e-21   1.1431878999999999e-15   7.0041766000000000e-15   9.1645022000000002e-10   1.2606920000000000e-13   2.6520220000000002e-12   3.3921799000000002e-11   1.3015679000000000e-21   1.4972181000000001e-12   3.7286228000000002e-11   1.3603376000000001e-17   1.0809971000000001e-12   1.8391978000000000e-12   1.5019534000000000e-12   1.8573029000000001e-09   6.5857345999999995e-14   7.0607302999999998e-10   8.0138957000000000e-13   1.3039743000000001e-10   1.8206101999999999e-19   9.9999999999999996e-39   2.0000000000000000e-02   9.7738062271244541e-01   6.4073820000000004e-01   1.0645204000000000e+01   4.4599028999999998e-02   3.1355838000000000e-21   4.4724353000000000e-04   2.1590709999999998e-03   1.8265326000000001e-06   1.8265326000000001e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.7500000000000000e+05   5.3144678189022532e-01   2.4155232000000001e+02   1.5935485000000000e+19   1.0000000000000000e+05   4.2069382000000002e-14   1.9174731999999999e-14   2.4981476000000000e-04   2.1721492000000001e-14   1.7286918999999998e-17   1.8227303999999999e-15   7.3233558000000004e-12   2.5780587000000000e-04   1.2002021999999999e-04   3.4419890999999998e-12   1.1572732000000000e-10   1.9999006000000000e-03   2.2445173000000000e-13   2.4632597000000001e-06   2.0564315000000001e-11   1.4738467000000000e-14   7.9381758999999993e-12   5.6518176000000002e-20   5.2840231000000004e-16   2.4947071000000001e-30   1.0398947000000000e-15   1.9741010000000001e-15   2.5711914000000001e-14   5.3935932999999997e-16   3.2393765000000002e-18   4.4285772000000004e-09   9.5730445999999998e-16   5.4406145999999998e-14   2.7269354999999999e-09   3.3948368999999999e-15   5.6837718000000004e-17   3.2932443000000000e-14   2.3517907000000000e-11   1.1927853000000001e-30   0.0000000000000000e+00   8.2285861999999996e-13   2.7840839000000002e-13   6.8456211000000005e-13   3.3659016000000001e-12   2.9185618999999999e-12   7.2651802000000001e-20   3.1414574999999999e-24   0.0000000000000000e+00   5.5955101999999998e-18   2.1648812999999999e-21   6.7729830999999999e-16   4.7886719000000002e-15   8.8662061999999995e-10   1.4436453999999999e-13   2.6903899000000002e-12   3.0068944999999998e-11   1.3687262000000001e-21   1.6509040999999999e-12   3.6955546000000002e-11   1.3466197000000000e-17   1.0269956999999999e-12   2.0921574000000000e-12   1.8745420999999998e-12   1.8143729999999999e-09   7.9160886999999999e-14   7.2332030000000003e-10   7.5760899999999997e-13   1.4565294999999999e-10   2.1073335999999999e-19   9.9999999999999996e-39   2.0000000627530320e-02   9.7736998367291517e-01   5.5043483000000004e-01   1.1073384000000001e+01   4.8074837000000002e-02   2.9200784000000001e-21   4.7046620000000002e-04   2.2169604000000002e-03   1.9575882000000001e-06   1.9575882000000001e-06   1.0000000000000001e-05   2.1775564000000000e-05   1.3000000000000000e-07   1.3000000000000000e-07   
