alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     CO2                      S3                       S4                       SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8303416226972751e-01   2.7700000000000000e+02   2.5716375301358436e+19   9.9284138999999894e+04   4.0728079716951154e-16   3.6707098862772321e-15   6.2923639697020500e-03   2.8714134710643477e-13   1.0703853821991750e-16   2.0064716579942491e-15   1.3968835489743991e-17   2.1739078788604697e-03   7.4668812007958408e-06   6.0185656754030734e-12   9.0309071163501667e-10   1.5469835150946114e-05   1.6722089887102805e-14   4.3612711812320310e-10   9.6925195375827800e-13   4.3470184084198961e-17   1.1245026377918405e-12   3.7818328844036623e-22   5.5333383418576147e-19   5.8586880205191438e-26   1.0535847766455613e-29   1.2756645925310601e-29   1.5083156306607220e-24   1.2319139434525245e-25   1.0999390470929851e-27   8.4237215068366938e-21   8.8008522414707414e-21   1.5223893115315780e-19   2.2557546054142677e-14   5.6662492650344910e-21   1.7927826884573945e-24   1.3835716576463402e-17   9.2191316745695662e-17   9.2799717686288138e-32   3.2985633229882168e-18   8.1178735571928960e-14   9.2672869735402410e-15   2.8276475718974624e-14   1.3328077755246394e-18   2.6883305858734563e-19   3.2065814320526881e-22   6.0615142760628421e-32   1.2267174257801080e-32   4.9230453728291227e-25   1.3785757415917464e-23   7.1150296241213337e-22   1.1418594239648708e-20   4.6444496782775538e-10   5.9921864591682904e-14   3.5275851463054095e-13   4.3924291213360875e-10   1.2243427375825967e-22   5.3448687969780184e-13   4.7054051741444918e-13   1.9652453549497904e-15   8.1633439985889532e-12   3.4497645644991829e-13   2.7563739407102516e-15   1.9538663482119325e-17   3.1920868262395160e-20   1.4304736101695920e-10   2.4654241107581010e-27   1.7062862114876069e-27   1.8490861616223976e-25   1.7948990690181944e-25   3.0000000000000001e-03   4.2532511866119237e-15   1.5358483308940666e-13   1.1736038492493159e-11   1.1200969224219829e-11   1.2295384060167844e-21   7.4846141359349755e-25   5.9744667973179562e+00   1.4189572822273897e+01   4.5265893585881171e-04   3.5270237493872920e-07   6.4249263654525351e-04   4.7809574350898669e-04   1.0864213034731731e-06   1.0864213034731731e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
7.5000000000000000e-01   9.2583872690537172e-01   2.7300000000000000e+02   2.4575004695688585e+19   9.9284138999999894e+04   1.0345576155013324e-15   3.7983727441498554e-15   4.7158554189161948e-03   3.7301648550238083e-13   1.4613792863529262e-16   1.6325275625601193e-15   1.1895546599358345e-17   2.1739085468645246e-03   7.4670873146077144e-06   6.5815278850684833e-12   9.4779037529459501e-10   1.5469427941235854e-05   1.9358038754586488e-14   4.3610450131521253e-10   1.2021528515209090e-12   5.2948150118353328e-17   1.4578442638938793e-12   8.1938782390967651e-22   7.0238991122572040e-19   1.9243774794837762e-25   1.2760469767967675e-29   1.5905709124606483e-29   1.5196052212963457e-24   1.2584978522104497e-25   1.0716627259541275e-27   1.2779670277870446e-20   8.6300007959899982e-21   1.5766262214760431e-19   2.2551522931403145e-14   6.1593937393869447e-21   2.0071076980293950e-24   1.6263295007009223e-17   9.6234576309744444e-17   1.1281039340799396e-31   3.0740314217163639e-18   7.6168757254910602e-14   7.6320055116626789e-15   2.1031123446979320e-14   2.1047677184717392e-18   2.8143571332330834e-19   3.0372542969290529e-22   9.8485453780485516e-32   1.9883077967670297e-32   7.1675989622233482e-25   1.2281820913321257e-23   6.2464159688267034e-22   1.1122794819042084e-20   4.6644134438868725e-10   8.8967161602878186e-14   4.6049153600751381e-13   4.4070853136846552e-10   4.0506139214766783e-22   6.3249433634150573e-13   6.5522044726969598e-13   3.2953920355359175e-15   1.3973331310582993e-11   5.7607711641787802e-13   4.1768032353189386e-15   1.9397730267940644e-17   4.2012371203363636e-20   1.4356321366140150e-10   6.0416391610557203e-27   3.7480204984250255e-27   1.9523010143434415e-25   1.9663330126152279e-25   2.9999997375176925e-03   6.0483096942761009e-15   1.7969676458938392e-13   1.2517255190730043e-11   1.1845937421155691e-11   1.3110619692956231e-21   7.9808755061717253e-25   5.3409428828170435e+00   1.4340589543497785e+01   4.6124967506674610e-04   3.5939609924435740e-07   6.7326482107157978e-04   4.9466357134861155e-04   1.1491849728793672e-06   1.1491849728793672e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.2500000000000000e+00   8.7118276053091259e-01   2.6900000000000000e+02   2.3468098715880415e+19   9.9284138999999894e+04   2.0579522558190777e-15   4.0210715797737115e-15   3.3721625087613054e-03   4.5805076786061635e-13   1.8346282805262740e-16   1.3739964642583470e-15   9.2599126640022720e-18   2.1739092079767312e-03   7.4675511725101643e-06   6.9314852315757458e-12   9.4453499495683902e-10   1.5469001893403071e-05   2.1044376008732932e-14   4.3605953210191533e-10   1.4704793434249637e-12   7.5310775408508211e-17   1.7872450834952742e-12   1.4755659733430365e-21   9.9076286526982865e-19   4.3602166850368375e-25   1.5600936017062244e-29   1.9738829635554562e-29   1.5441428390268129e-24   1.3174317265292431e-25   1.0587028180715153e-27   2.0758394981698247e-20   8.3039071714781071e-21   1.5988996013211104e-19   2.2537296522243355e-14   6.7329063211249444e-21   2.3187861522505776e-24   1.8230115309601023e-17   1.0297168801818700e-16   1.1917503042763803e-31   2.8300238089256007e-18   6.6568516789226914e-14   5.6629958612992846e-15   1.5217634723961944e-14   3.6650987565586428e-18   3.0947681735092649e-19   2.6463086329278755e-22   1.5982054512662682e-31   3.2179188818605792e-32   1.0382257216742784e-24   1.0598752576409515e-23   5.1183530802824102e-22   1.0466028823878018e-20   4.7117568899447858e-10   1.2869188331225833e-13   5.9211056344186328e-13   4.3679070996531793e-10   8.7522249639741504e-22   7.5633001075148849e-13   7.8926457429013265e-13   4.8001151938496314e-15   1.6227804963846909e-11   8.3810875962067026e-13   5.6645157951887247e-15   1.8980941625848494e-17   5.2030005894759879e-20   1.4410321108464296e-10   1.2666952354018361e-26   6.4365186543360809e-27   2.1288681710432129e-25   2.2046814831524761e-25   2.9999993031054814e-03   8.8536048496694981e-15   2.1740838846016944e-13   1.4112849346705804e-11   1.3133059699610158e-11   1.4780583698892990e-21   8.9974388070147732e-25   4.8409551852993289e+00   1.5182657214533055e+01   4.9657944119003625e-04   3.8692431404491864e-07   7.1338926670390954e-04   5.1251489810561347e-04   1.2168552478738616e-06   1.2168552478738616e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.7500000000000000e+00   8.1899654500939478e-01   2.6500000000000000e+02   2.2395311594459800e+19   9.9284138999999894e+04   3.7605466188770965e-15   4.3139184974362060e-15   2.3868738575467579e-03   5.4843850313587530e-13   2.2334192953106789e-16   1.2031478600086237e-15   7.0617741728427239e-18   2.1739098242506525e-03   7.4682946838486351e-06   7.1568511710582703e-12   9.0709480929239955e-10   1.5468555808785947e-05   2.2355526515658217e-14   4.3599355918969061e-10   1.7803482367597598e-12   1.2002265208458843e-16   2.1249122262962225e-12   2.5039801298116865e-21   1.5020516314028575e-18   8.5144707484813513e-25   1.8795660954690904e-29   2.4046378253518528e-29   1.5832851494746663e-24   1.4143892755458764e-25   1.0735351512761622e-27   3.3617693525501388e-20   7.8790922083499163e-21   1.6136061631636957e-19   2.2513125825133833e-14   7.4140838603486695e-21   2.7844729819903277e-24   2.0166609107136024e-17   1.1166219367115651e-16   1.2008466648734633e-31   2.6198663598408489e-18   5.4972171936584455e-14   3.9997734714239122e-15   1.0948220863061516e-14   6.3829019008424498e-18   3.5589496953314838e-19   2.2567508466710990e-22   2.6316653564915949e-31   5.2829254668067362e-32   1.5366673719610840e-24   9.1512372712507695e-24   4.0226759081183795e-22   9.4664281204712095e-21   4.7900021749962869e-10   1.8317702328840711e-13   7.5023767730159826e-13   4.2589076849029315e-10   1.6255055505716242e-21   9.0465085853828074e-13   8.6861426815021531e-13   6.5125038892330585e-15   1.6440646393333934e-11   1.1156996671146102e-12   7.2241358132673402e-15   1.8188660626494701e-17   6.1084943973314581e-20   1.4466887705966779e-10   2.4318377016544886e-26   1.0113302885901543e-26   2.3123458668797514e-25   2.4109139471949219e-25   2.9999986619830376e-03   1.2881536280827629e-14   2.6484017989796957e-13   1.6660378166322132e-11   1.5131079084752999e-11   1.7450391471753810e-21   1.0622640663190962e-24   4.7937889698437894e+00   1.6692868514594061e+01   5.5947608529522427e-04   4.3593206357600547e-07   7.5332616339606558e-04   5.3177197934633005e-04   1.2898982507406574e-06   1.2898982507406574e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.2500000000000000e+00   7.6920865246437575e-01   2.6100000000000000e+02   2.1356228898450104e+19   9.9284138999999894e+04   6.7512193178692380e-15   4.6982183983728067e-15   1.6715422941801629e-03   6.4381516119524013e-13   2.6586643005728932e-16   1.0776492428386093e-15   5.4073747005544232e-18   2.1739103555341228e-03   7.4693372374800602e-06   7.2652991741380892e-12   8.4262992321472223e-10   1.5468088380649365e-05   2.3383468420291722e-14   4.3590763406556468e-10   2.1355457577883200e-12   2.0822004121188658e-16   2.4588574574721677e-12   4.2773775408819173e-21   2.3673350273004367e-18   1.6227296800134458e-24   2.2449750867095495e-29   2.8962462685319649e-29   1.6379289480436068e-24   1.5554928594543345e-25   1.1239608822131911e-27   5.4840232804388041e-20   7.3993501462896654e-21   1.6330822790342422e-19   2.2477358402985872e-14   8.1825056642295932e-21   3.4544801620913346e-24   2.2143016573718881e-17   1.2172523189273229e-16   1.1889851747671893e-31   2.4549706370283461e-18   4.3213728968247614e-14   2.7341512026477527e-15   7.8500952391078310e-15   1.1078471103243381e-17   4.2407669345229188e-19   1.9299086657559467e-22   4.4042459996198922e-31   8.8119753378271352e-32   2.3155057195589099e-24   8.0675654745488447e-24   3.0613819448437415e-22   8.1911236785411452e-21   4.8989528282988248e-10   2.5809219840494236e-13   9.3633227624986345e-13   4.0710344951358754e-10   2.8470175106118592e-21   1.0840927070304744e-12   9.1678712705634892e-13   8.6263518732585358e-15   1.5614312726184102e-11   1.4298417058872565e-12   8.8606488324404260e-15   1.6969006299227831e-17   6.8523246415588935e-20   1.4526185270870768e-10   4.4166137411452109e-26   1.5535671721036754e-26   2.4407608798440316e-25   2.5135742242041992e-25   2.9999977806516487e-03   1.8677893817766002e-14   3.2463536116081253e-13   2.0147176372621383e-11   1.7743089889330054e-11   2.1108169185382857e-21   1.2849253077050248e-24   4.9460198375018392e+00   1.8666280247574942e+01   6.4534860776521664e-04   5.0284213696201856e-07   7.9548195761907812e-04   5.5257133316289188e-04   1.3688352051453102e-06   1.3688352051453102e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.7500000000000000e+00   7.2172414142044139e-01   2.5675000000000000e+02   2.0369562152899015e+19   9.9284138999999894e+04   1.2316196576108057e-14   5.2413900395107956e-15   1.1309996739435934e-03   7.3422089659124786e-13   3.0493046194534600e-16   9.7143409602617269e-16   4.1796181446175343e-18   2.1739107664466625e-03   7.4706994669184436e-06   7.2023644073965114e-12   7.5356399256465387e-10   1.5467598436009249e-05   2.3794745790007514e-14   4.3580247814280987e-10   2.5435398332885616e-12   3.9111782665219657e-16   2.7594639392122323e-12   7.6968169665162734e-21   3.7974614091733360e-18   3.2652614101158347e-24   2.7081616368983500e-29   3.5038805404103574e-29   1.7083665886283959e-24   1.7470157567203885e-25   1.2104720000453095e-27   9.1020555735335822e-20   6.8807935977794207e-21   1.6590258407329965e-19   2.2428423140347060e-14   8.9474401634806452e-21   4.3635564145445633e-24   2.3865090017329659e-17   1.3251322197103577e-16   1.1385498749935724e-31   2.3261139339047078e-18   3.2164532383437862e-14   1.7845924759861621e-15   5.5367042757347287e-15   1.9205579732687111e-17   5.1767607332495299e-19   1.6477387232141470e-22   7.4936429899797466e-31   1.4934410196503701e-31   3.4976960526822221e-24   7.2520532494029612e-24   2.2615407831280043e-22   6.7390294231678568e-21   5.0340143377077437e-10   3.6204064773001194e-13   1.1539836229764169e-12   3.8042472828431940e-10   5.0220083069704705e-21   1.2999251541162278e-12   9.6110485535535044e-13   1.1554729089374579e-14   1.4406904868744903e-11   1.8407480002410152e-12   1.0578607852263397e-14   1.5323637337804722e-17   7.3533913105944827e-20   1.4588361548326077e-10   7.8182451010786288e-26   2.3867174715469987e-26   2.4763585574259821e-25   2.4710253300544555e-25   2.9999966281871598e-03   2.7084325866253465e-14   3.9961193962075595e-13   2.4493577434954324e-11   2.0783879830895334e-11   2.5672253732895846e-21   1.5627564966679378e-24   5.1954232257735278e+00   2.0855100097533011e+01   7.4862604846804290e-04   5.8331375859116941e-07   8.4074999882312329e-04   5.7521919940582472e-04   1.4540625072086516e-06   1.4540625072086516e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.2500000000000000e+00   6.7643029254382459e-01   2.5225000000000000e+02   1.9431789044794663e+19   9.9284138999999894e+04   2.2737793324746332e-14   5.9992181877852210e-15   7.3723073888219519e-04   8.1307512992788217e-13   3.3588216006832201e-16   8.7008981739972457e-16   3.2619144433146954e-18   2.1739110240376665e-03   7.4723884425593501e-06   6.9636938834178496e-12   6.4985805390211211e-10   1.5467084966020303e-05   2.3526141961027020e-14   4.3567895851085839e-10   3.0123264514375090e-12   7.7414366120920280e-16   3.0024026891785285e-12   1.4523610462369899e-20   6.1327260540873653e-18   1.1261304637952081e-23   3.3159493462744848e-29   4.2772600031838435e-29   1.7939307920218187e-24   1.9939298936499235e-25   1.3367547426938992e-27   1.5274893848830143e-19   6.3227674330764065e-21   1.6975085175208771e-19   2.2365230988410933e-14   9.6368217467273924e-21   5.5328190412510595e-24   2.5202100078927687e-17   1.4354133166108562e-16   1.0579699536223526e-31   2.2256194313649663e-18   2.2683159755163645e-14   1.1027773083118310e-15   3.8290601070426306e-15   3.3069148996927632e-17   6.3962387532358613e-19   1.4100575710073463e-22   1.2879882985779746e-30   2.5549472346201010e-31   5.2335938453239519e-24   6.6458187409515570e-24   1.6187055384402594e-22   5.2453912232826402e-21   5.1850722982193528e-10   5.0498465810994196e-13   1.3996594899378285e-12   3.4697437472490634e-10   9.3151978675228468e-21   1.5541113205300934e-12   1.0199741845839597e-12   1.6115671465890814e-14   1.3297758313939031e-11   2.4294829046742635e-12   1.2381963947373510e-14   1.3349768425512589e-17   7.5450803106772119e-20   1.4653544013174087e-10   1.3652492626670189e-25   3.6455789452403994e-26   2.3999505783851875e-25   2.2785675789510486e-25   2.9999951825670826e-03   3.9016356843868277e-14   4.9063107688853242e-13   2.9687931520916077e-11   2.4090771186350893e-11   3.1132698431668463e-21   1.8951521451563031e-24   5.7168981988103695e+00   2.3060432690224367e+01   8.6606162569538916e-04   6.7481710406651705e-07   8.8056139966827675e-04   5.9993510277374601e-04   1.5463489960977887e-06   1.5463489960977887e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.7500000000000000e+00   6.3326346186043914e-01   2.4800000000000000e+02   1.8503490587319984e+19   9.9284138999999894e+04   4.1071910941022580e-14   6.9611605110507032e-15   4.8505007099738099e-04   8.9427013166628678e-13   3.6766196484523953e-16   7.7397342683755692e-16   2.5806897563814938e-18   2.1739111008772616e-03   7.4743951759023263e-06   6.6625535972560918e-12   5.4863503132286970e-10   1.5466546381998555e-05   2.3301317796862844e-14   4.3553797468631988e-10   3.5303887130527509e-12   1.5125823632888891e-15   3.1856484616004998e-12   2.7179674608886342e-20   9.8863846409402103e-18   1.8780524470955274e-22   4.0273215682168960e-29   5.1757996937675170e-29   1.8930648747199311e-24   2.2988520837703726e-25   1.5254283846611847e-27   2.5488207902845499e-19   5.7199014571937906e-21   1.7621938636940089e-19   2.2287268818113882e-14   1.0325148117517929e-20   7.0137832266236043e-24   2.6763846690583558e-17   1.5469044168295728e-16   1.0183184988211006e-31   2.1754059576438506e-18   1.5526628732982807e-14   6.6240375685308760e-16   2.6654201122285409e-15   5.6127548171466296e-17   7.9112358730655404e-19   1.2559417458262076e-22   2.1976413697932337e-30   4.3379527446298986e-31   7.7677373465338398e-24   6.3355024983368549e-24   1.1215725094509292e-22   3.8669083028490265e-21   5.3366668730574021e-10   6.9193570547347372e-13   1.6508183193045291e-12   3.0901815928478382e-10   1.8124580523530193e-20   1.8423924290026369e-12   1.1014255659343816e-12   2.3763638676367115e-14   1.2669522286490834e-11   3.2555046423697131e-12   1.4276638191666848e-14   1.1243571790965048e-17   7.4633179867851423e-20   1.4721934389017605e-10   2.3126183184876175e-25   5.4659910746123742e-26   2.2068631904715828e-25   1.9768526202627124e-25   2.9999934330115227e-03   5.4771639393384995e-14   5.9384712161471134e-13   3.5757265581298325e-11   2.7483066867745211e-11   3.7520968779558563e-21   2.2840276639365605e-24   6.3299055073702180e+00   2.5050870399022681e+01   9.9390974947657440e-04   7.7443368802623766e-07   9.2025117812576107e-04   6.2662726924944873e-04   1.6469359146578258e-06   1.6469359146578258e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.2500000000000000e+00   5.9220009358803671e-01   2.4400000000000000e+02   1.7587315680328958e+19   9.9284138999999894e+04   7.1983768663942752e-14   8.2006292631252770e-15   3.2268303197183527e-04   9.7922223955600025e-13   4.0129008574352132e-16   6.8400586555495714e-16   2.0926826559238084e-18   2.1739109870564507e-03   7.4767189207455516e-06   6.3174968579528883e-12   4.5628632253988059e-10   1.5465980419881604e-05   2.3146199911186944e-14   4.3537982313415469e-10   4.0962122829834069e-12   2.8604058970536690e-15   3.2984215431110319e-12   5.0086400550333974e-20   1.5809110015765014e-17   2.8000782750516352e-21   4.8442531996084024e-29   6.2017641228974426e-29   2.0036359021634356e-24   2.6621367217584444e-25   1.7853378170619600e-27   4.1778269836849831e-19   5.0512612086421915e-21   1.8445048201126271e-19   2.2193923777126989e-14   1.0989415692813264e-20   8.8268825677269634e-24   2.8599363492355547e-17   1.6541615055187766e-16   1.0217693662724858e-31   2.1765736651956737e-18   1.0432375133578039e-14   3.8766360477526666e-16   1.8661521649511929e-15   9.3297800458271742e-17   9.7169306286883505e-19   1.1684725108439271e-22   3.6902400516432922e-30   7.2466995918650220e-31   1.1366543919802056e-23   6.2742754782990096e-24   7.6602997842873165e-23   2.7224845405199878e-21   5.4719743057729892e-10   9.2735190824094939e-13   1.8872695145436240e-12   2.6928590564927869e-10   3.7948141851398528e-20   2.1503520879944610e-12   1.2141252028640269e-12   3.7000543049443293e-14   1.2918125879696805e-11   4.4291355791509487e-12   1.6270949832777062e-14   9.1791331524643659e-18   7.1560207120610993e-20   1.4793821632136769e-10   3.8149708736928928e-25   7.9838353764026025e-26   1.9263012239455406e-25   1.6218632808147311e-25   2.9999913730859992e-03   7.4125844595397021e-14   7.0059884563881543e-13   4.2755239540556495e-11   3.0753259401955854e-11   4.4898141833876901e-21   2.7331010190705879e-24   6.9627415812340274e+00   2.6643708439334929e+01   1.1304390996419221e-03   8.8081450200668371e-07   9.6241974392130493e-04   6.5547224346878337e-04   1.7565747240439759e-06   1.7565747240439759e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.7500000000000000e+00   5.5319051718878010e-01   2.4000000000000000e+02   1.6702612233960753e+19   9.9284138999999894e+04   1.2322037996477443e-13   9.9440678168813420e-15   2.1174373837790493e-04   1.0593769994424374e-12   4.3149243317623764e-16   6.0204881713818570e-16   1.7821806027623174e-18   2.1739106878076275e-03   7.4793595994194799e-06   5.8981614292349616e-12   3.7254764313421635e-10   1.5465384907187464e-05   2.2744956153775597e-14   4.3520453153284774e-10   4.7184877838779231e-12   5.2661534195467844e-15   3.3189628605009866e-12   9.3144317847585516e-20   2.4977536331316557e-17   2.0644966083643661e-20   5.8237888719681267e-29   7.4103835237325543e-29   2.1227008460865296e-24   3.0800639176007605e-25   2.1073209208749774e-27   6.6750343311291683e-19   4.2981497203350401e-21   1.9242252344662855e-19   2.2084584149242825e-14   1.1518628631420655e-20   1.0940906386909547e-23   3.0394188602657543e-17   1.7464087028885476e-16   1.0378352615700621e-31   2.2302473706745679e-18   6.8397990641725155e-15   2.1563056998124546e-16   1.2899538232104240e-15   1.5120388948360713e-16   1.1781916460100692e-18   1.1133626572467732e-22   6.0810382460352796e-30   1.1873485987272397e-30   1.6262255310629786e-23   6.3430873115583763e-24   5.3660153261274576e-23   1.8624369100855055e-21   5.5767269469882696e-10   1.2199663322413992e-12   2.0995731486926139e-12   2.3020108812455187e-10   8.9973607042748557e-20   2.4599111057845217e-12   1.3619545284357143e-12   6.0110343806501429e-14   1.4602902165984493e-11   6.1470724618270472e-12   1.8372946868669690e-14   7.2755646061057434e-18   6.6505328574621915e-20   1.4869485182909181e-10   6.2274637389127383e-25   1.1304266476597461e-25   1.6042609206245189e-25   1.2622811267978619e-25   2.9999890029008924e-03   9.6691601808472061e-14   8.0068784421405253e-13   5.0747287347962246e-11   3.3677726095557403e-11   5.3340548829932096e-21   3.2470187497800817e-24   7.6102227098554485e+00   2.7709655169094379e+01   1.2754431996545887e-03   9.9379866380906135e-07   1.0078841101892678e-03   6.8685682437928306e-04   1.8759301569731225e-06   1.8759301569731225e-06   1.7256292535323827e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
