alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     CO2                      S3                       S4                       SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8279600492520836e-01   2.7700000000000000e+02   2.5710145056380695e+19   9.9284138999999996e+04   3.8170942416855929e-16   3.8365783964246055e-15   6.2938887751410834e-03   2.7167197878142272e-13   9.9570859121984823e-17   2.1889318877775756e-15   1.6517073157318893e-17   2.3436283859977324e-03   8.0141260127413486e-06   6.0968937360713977e-12   9.2898230849932716e-10   1.5835927637938577e-05   1.5715809277390115e-14   4.3570264857611055e-10   9.4790908562451844e-13   4.5096015921084980e-17   1.1148719714445996e-12   3.7201625339359072e-22   4.8890719915410823e-19   5.1518209817019570e-26   1.0576481306636298e-29   1.2552397724745513e-29   1.4018189281039611e-24   1.1594423946411954e-25   1.0176267109598333e-27   7.1053927582024937e-21   7.8575832726104675e-21   1.3730525296452729e-19   2.0683499081586429e-14   5.1444094947717140e-21   1.8070308442083226e-24   1.2717214162236509e-17   8.5108934479384342e-17   7.6516357719700482e-32   3.3634491462469618e-18   8.6290614331523094e-14   9.2823279554116236e-15   3.0134538723148335e-14   1.1508822698227454e-18   2.7552124476965982e-19   3.0025167255758610e-22   5.7914762542440541e-32   1.1756916766987857e-32   4.4281851643706058e-25   1.3355400449454583e-23   6.6905258562962623e-22   1.0834644421861962e-20   4.8021577648369290e-10   5.7965790543035532e-14   3.5019105513647969e-13   4.5313909565991606e-10   1.1366764533730371e-22   5.3343842116601301e-13   4.8141945885609409e-13   1.8263095635262354e-15   8.1417720744768050e-12   3.3968806194235035e-13   2.5625464608518124e-15   1.7543010486395756e-17   2.8839622593801638e-20   1.3881993167417061e-10   2.1309455341783281e-27   1.4563443673736906e-27   1.6056209931234478e-25   1.4700053285708771e-25   3.0000000000000001e-03   4.0999565978371417e-15   1.5284542664393706e-13   1.1526688681517565e-11   1.1187698869286537e-11   1.2546888715588706e-21   7.2101693661935330e-25   5.8802714932524838e+00   1.4169328116979928e+01   4.6180626135486049e-04   3.3968721915205281e-07   6.4175742173048405e-04   4.7819109160646996e-04   1.0867680132079786e-06   1.0867680132079786e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
7.5000000000000000e-01   9.2519682207282672e-01   2.7300000000000000e+02   2.4557966291681976e+19   9.9284138999999996e+04   9.7258733039206760e-16   3.9684748280245522e-15   4.7169520012754883e-03   3.5409227511293965e-13   1.3629488354599357e-16   1.7781389269022004e-15   1.4022829130338882e-17   2.3436291018321268e-03   8.0143323662129360e-06   6.6806026632108930e-12   9.7694429971139675e-10   1.5835518979944245e-05   1.8267965021676621e-14   4.3568067414075709e-10   1.1759262669628366e-12   5.3223383736560885e-17   1.4480395838751366e-12   8.0700885468179760e-22   6.1785638098448267e-19   1.6968289513481787e-25   1.2764739601290690e-29   1.5624598489813052e-29   1.4116911709337114e-24   1.1833073720416170e-25   9.9011431932592634e-28   1.0790525198429007e-20   7.7069761601564765e-21   1.4209480994140479e-19   2.0678282220918439e-14   5.5800852886164119e-21   2.0160907150515850e-24   1.4962452861357684e-17   8.8740682765769188e-17   9.3457972092838990e-32   3.1411426441127843e-18   8.1259100232112259e-14   7.6671989010624614e-15   2.2435904390857269e-14   1.8197034171279916e-18   2.8776773762801196e-19   2.8476655975382304e-22   9.4095157753588545e-32   1.9058445801716584e-32   6.4534947414973480e-25   1.1870339552538527e-23   5.8725761830584916e-22   1.0560152754810808e-20   4.8221091353101251e-10   8.6247669188271357e-14   4.5786026024756354e-13   4.5474790949917724e-10   3.7729989948633319e-22   6.3159784611707499e-13   6.7166382592453435e-13   3.0632561487427098e-15   1.3941065594498430e-11   5.6867839773455874e-13   3.8833688255864818e-15   1.7419688317715920e-17   3.8028020514128473e-20   1.3932065307646109e-10   5.2322291170136971e-27   3.2108367971273954e-27   1.6930113187079670e-25   1.6118203177840471e-25   2.9999999845795535e-03   5.8359955682882051e-15   1.7879601648530495e-13   1.2294181478233752e-11   1.1832943170212616e-11   1.3378987894040516e-21   7.6883417754740973e-25   5.2493401972376779e+00   1.4314927069156669e+01   4.7036489751788621e-04   3.4598262820394217e-07   6.7282067205411470e-04   4.9495641431967293e-04   1.1502477159642811e-06   1.1502477159642811e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.2500000000000000e+00   8.7020567555643147e-01   2.6900000000000000e+02   2.3441777801746444e+19   9.9284138999999996e+04   1.9383161398210211e-15   4.1964195168033310e-15   3.3729111177228988e-03   4.3608339233414552e-13   1.7139458305315249e-16   1.4949257065087556e-15   1.0866295617552447e-17   2.3436298124593180e-03   8.0147987650034673e-06   7.0493767748658535e-12   9.7631300916252852e-10   1.5835091218035312e-05   1.9912150381974473e-14   4.3563708711232889e-10   1.4383834488960691e-12   7.3437151238584725e-17   1.7780099097765736e-12   1.4527416959084760e-21   8.6644213783428440e-19   3.8579341432154646e-25   1.5547258900467047e-29   1.9341021191190110e-29   1.4331940304197075e-24   1.2362945435619072e-25   9.7551247872853628e-28   1.7543029060993325e-20   7.4175276868175747e-21   1.4398038468461139e-19   2.0665920987950078e-14   6.0842314133968839e-21   2.3161703281047203e-24   1.6773988721907581e-17   9.4826394110738463e-17   9.8943205376534932e-32   2.8924391591414960e-18   7.1380262753584116e-14   5.7003452853921243e-15   1.6224351672094908e-14   3.1730928309598619e-18   3.1504847648259692e-19   2.4789120060011207e-22   1.5223430857161727e-31   3.0756450539158818e-32   9.3340095256287972e-25   1.0192889302030142e-23   4.8115910158677826e-22   9.9471891324490705e-21   4.8696866369255313e-10   1.2486664780579514e-13   5.8912262575285918e-13   4.5095084970929548e-10   8.1651939896331984e-22   7.5502566999391696e-13   8.0845425792147745e-13   4.4609527965700465e-15   1.6185178038623056e-11   8.2665144079052946e-13   5.2673244205139537e-15   1.7053534469219873e-17   4.7181029593184267e-20   1.3984504170681848e-10   1.0982813513135653e-26   5.5279350735611068e-27   1.8435363282829738e-25   1.8104961737198869e-25   2.9999998103068422e-03   8.5387365597513457e-15   2.1603963092705511e-13   1.3862136606298804e-11   1.3121402106499446e-11   1.5083881472523340e-21   8.6680724267011641e-25   4.7544422366697292e+00   1.5152167124469118e+01   5.0620088506089355e-04   3.7234222523135930e-07   7.1321988772610049e-04   5.1302040099894400e-04   1.2186909101840401e-06   1.2186909101840401e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.7500000000000000e+00   8.1774000385185852e-01   2.6500000000000000e+02   2.2360951705000235e+19   9.9284138999999996e+04   3.5475198820732966e-15   4.4961491809530052e-15   2.3873762753041177e-03   5.2353258975074640e-13   2.0894438628256593e-16   1.3091315441440072e-15   8.2386919670094255e-18   2.3436304800773218e-03   8.0155479314403158e-06   7.2922651115295588e-12   9.4050847373845984e-10   1.5834643138736929e-05   2.1197299261338442e-14   4.3557334213381079e-10   1.7413671311251994e-12   1.1439641798602415e-16   2.1170256907343063e-12   2.4635866270032345e-21   1.3072650476950208e-18   7.5604589956850148e-25   1.8652189391831726e-29   2.3487715738723607e-29   1.4675649553321826e-24   1.3235536888885930e-25   9.8515526692467319e-28   2.8438078069014456e-20   7.0387474182123011e-21   1.4518197529882324e-19   2.0644875403888144e-14   6.6836971799972570e-21   2.7619738440911431e-24   1.8554631529341793e-17   1.0271291909885030e-16   9.9719115174738661e-32   2.6761211761822349e-18   5.9271977810442246e-14   4.0316812031043860e-15   1.1660942583241052e-14   5.5341445773007508e-18   3.6023105259861453e-19   2.1085454841653398e-22   2.4949418498003428e-31   5.0264668577089247e-32   1.3773062820400269e-24   8.7418170414055806e-24   3.7828059114176853e-22   9.0104599331861100e-21   4.9487423619439143e-10   1.7778652853589594e-13   7.4685214822124344e-13   4.4010261303361997e-10   1.5179885524500778e-21   9.0239384375067355e-13   8.8774230503792083e-13   6.0463665880783375e-15   1.6387906097794362e-11   1.0976715485860278e-12   6.7187262947280237e-15   1.6354966701660838e-17   5.5500751081508737e-20   1.4039458823112549e-10   2.1102200492500343e-26   8.7053767517102239e-27   2.0014798001770844e-25   1.9850104540708359e-25   2.9999994430823088e-03   1.2408207937391362e-14   2.6267690428483356e-13   1.6366122739625491e-11   1.5123274528638332e-11   1.7810113099870827e-21   1.0234723108812296e-24   4.7049577249398595e+00   1.6658660657927889e+01   5.7013303381339404e-04   4.1936829577539978e-07   7.5347863138143783e-04   5.3250877320646175e-04   1.2925780412725271e-06   1.2925780412725271e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.2500000000000000e+00   7.6771871982531947e-01   2.6100000000000000e+02   2.1314862563865829e+19   9.9284138999999996e+04   6.3801544388414514e-15   4.8899746971228973e-15   1.6718728870989171e-03   6.1613871558316225e-13   2.4907118221689676e-16   1.1735136490442790e-15   6.2624862559900741e-18   2.3436310642120130e-03   8.0165996708851286e-06   7.4167819317559925e-12   8.7646346327554640e-10   1.5834173416191612e-05   2.2214172659461600e-14   4.3549058500285102e-10   2.0886065902669470e-12   1.9547340333867168e-16   2.4533168578710122e-12   4.2065221782345797e-21   2.0541327948697291e-18   1.4477422865779502e-24   2.2177813328077314e-29   2.8188548585535534e-29   1.5156444906518922e-24   1.4506280181341851e-25   1.0258938358515693e-27   4.6459153016573631e-20   6.6101944588568445e-21   1.4684628723606993e-19   2.0613682919067115e-14   7.3620563659968590e-21   3.4014736091908517e-24   2.0372588879198417e-17   1.1188469556558460e-16   9.8636907737319484e-32   2.5055816167679521e-18   4.6854467489939636e-14   2.7595426356308526e-15   8.3522209863023625e-15   9.6223855611467141e-18   4.2660126644640194e-19   1.7966201809696854e-22   4.1534602902513942e-31   8.3416682793438820e-32   2.0678756155273877e-24   7.6486777919946855e-24   2.8815552624506295e-22   7.8113055217531544e-21   5.0594682936132458e-10   2.5055909473441816e-13   9.3288693369219474e-13   4.2123848568114390e-10   2.6605115620532953e-21   1.0805755665887381e-12   9.3393263012141943e-13   7.9937464047902869e-15   1.5548739079155462e-11   1.4017900277029530e-12   8.2422349898452804e-15   1.5276017162554718e-17   6.2395687444850840e-20   1.4097090151259421e-10   3.8349714064262497e-26   1.3406605523171797e-26   2.1140052482191189e-25   2.0762869796918422e-25   2.9999988501848221e-03   1.7972208331664301e-14   3.2143331165565945e-13   1.9794236365671949e-11   1.7744273473323341e-11   2.1546091720927895e-21   1.2381632929797110e-24   4.8518382572872918e+00   1.8631367013827500e+01   6.5746143752331968e-04   4.8360376655958566e-07   7.9599133808270204e-04   5.5356170372272196e-04   1.3724451954670353e-06   1.3724451954670353e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.7500000000000000e+00   7.2003992267470041e-01   2.5675000000000000e+02   2.0322027649822908e+19   9.9284138999999996e+04   1.1664842398661281e-14   5.4474015227177337e-15   1.1312073356833877e-03   7.0444823343939015e-13   2.8608515723695390e-16   1.0590992973447215e-15   4.7966890090134246e-18   2.3436315288080964e-03   8.0179749573589165e-06   7.3672761511154053e-12   7.8638949786740322e-10   1.5833680855132872e-05   2.2645675158774643e-14   4.3538960774135335e-10   2.4874239756471305e-12   3.6391408477101570e-16   2.7575901027807108e-12   7.5681868709942751e-21   3.2907107198468981e-18   2.9538773584189534e-24   2.6627903790830650e-29   3.3968536268844363e-29   1.5777527897652646e-24   1.6232199182164691e-25   1.0979515436273267e-27   7.7276942867241135e-20   6.1474650419104498e-21   1.4915154315551785e-19   2.0570948961559724e-14   8.0391746474653945e-21   4.2666700811351400e-24   2.1958300503335645e-17   1.2176691070123174e-16   9.4303500831609866e-32   2.3715330738413791e-18   3.5073536286531121e-14   1.8040271598627425e-15   5.8842520400768640e-15   1.6717853680115002e-17   5.1770112440540936e-19   1.5274592706388341e-22   7.0321679429937705e-31   1.4070813387949112e-31   3.1133030346042167e-24   6.8222845660315226e-24   2.1321478982149269e-22   6.4413635538890298e-21   5.1976498495820468e-10   3.5171165254563568e-13   1.1514043620207018e-12   3.9428957304968561e-10   4.6938850894038258e-21   1.2953696479209546e-12   9.7509899476734328e-13   1.0676816891387290e-14   1.4319653404079247e-11   1.7972402619232912e-12   9.8421193151281915e-15   1.3815869352751585e-17   6.7125795910243080e-20   1.4157543509203762e-10   6.7924937151826345e-26   2.0658913218856493e-26   2.1481235277942000e-25   2.0490460453924357e-25   2.9999980014425781e-03   2.6059259739286348e-14   3.9535778586788700e-13   2.4068781107717086e-11   2.0802943008860744e-11   2.6209009182877993e-21   1.5061215526195914e-24   5.0943812456954989e+00   2.0825516405307226e+01   7.6249479760611631e-04   5.6086233360467072e-07   8.4165679775505741e-04   5.7648915006796436e-04   1.4587032863423823e-06   1.4587032863423823e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.2500000000000000e+00   6.7458516331016261e-01   2.5225000000000000e+02   1.9378784082680873e+19   9.9284138999999996e+04   2.1589956998366718e-14   6.2252713930271851e-15   7.3735437313870186e-04   7.8214193176008371e-13   3.1561391656643903e-16   9.4997165359311591e-16   3.7009794827035796e-18   2.3436318396020633e-03   8.0196808824481274e-06   7.1385568514525320e-12   6.8043786584493406e-10   1.5833164421639863e-05   2.2429735440801144e-14   4.3527129665099405e-10   2.9457156781063625e-12   7.1733852460072831e-16   3.0057454740771375e-12   1.4280805146843563e-20   5.3147572246390480e-18   1.1182122103735200e-23   3.2449087781305558e-29   4.1294367446008233e-29   1.6533807971293535e-24   1.8459241733923028e-25   1.2046779448492682e-27   1.3004731556337427e-19   5.6511931693213374e-21   1.5266591854643390e-19   2.0515697241222724e-14   8.6516320024729788e-21   5.3767789797492017e-24   2.3192610839290132e-17   1.3193190691587415e-16   8.7484118361216386e-32   2.2662729230741222e-18   2.4880175822866156e-14   1.1173045858594401e-15   4.0647109285583263e-15   2.8860825428204930e-17   6.3639882919684806e-19   1.3014435347751027e-22   1.2038479109693489e-30   2.3981862058320790e-31   4.6470109858566998e-24   6.2063414285569883e-24   1.5289982387631862e-22   5.0267714893101678e-21   5.3533997358558094e-10   4.9127912713709654e-13   1.3995000138922654e-12   3.6032172656999427e-10   8.6974496786126143e-21   1.5495281379868969e-12   1.0303039863459746e-12   1.4837794248228103e-14   1.3170349788679637e-11   2.3622091956690518e-12   1.1522100183282556e-14   1.2058743599035012e-17   6.9069526289887634e-20   1.4220944878309585e-10   1.1867690181296974e-25   3.1665820398133511e-26   2.0864224848298642e-25   1.8978089747128445e-25   2.9999968755755647e-03   3.7595281249420845e-14   4.8569965994676734e-13   2.9178920209698912e-11   2.4141360212000371e-11   3.1789266606514126e-21   1.8267954825747627e-24   5.6110104437546715e+00   2.3045823005872318e+01   8.8191408042046556e-04   6.4870264129849375e-07   8.8159569034175565e-04   6.0151507125856584e-04   1.5521386051719116e-06   1.5521386051719116e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.7500000000000000e+00   6.3128601016576325e-01   2.4800000000000000e+02   1.8445710909471812e+19   9.9284138999999996e+04   3.9100208728392709e-14   7.2103509534510897e-15   4.8512269452843346e-04   8.6240101007881531e-13   3.4602991668623534e-16   8.4619679427224802e-16   2.8829704393329396e-18   2.3436319676797429e-03   8.0217080791199331e-06   6.8448239936453839e-12   5.7637127615394750e-10   1.5832622495764218e-05   2.2259310643294995e-14   4.3513652399358148e-10   3.4523346115725063e-12   1.4003628400207536e-15   3.1954921901275867e-12   2.6720234091317142e-20   8.5776997256591066e-18   2.0145634905096971e-22   3.9231324975533804e-29   4.9770653688137167e-29   1.7412525499944557e-24   2.1213238274569740e-25   1.3666078565359225e-27   2.1770617831087649e-19   5.1171870856409330e-21   1.5863255321829743e-19   2.0447453157638565e-14   9.2679252442778971e-21   6.7822651319902474e-24   2.4641997191885644e-17   1.4228281955188631e-16   8.4106492685146914e-32   2.2125222123926413e-18   1.7128383807640367e-14   6.7342474530974598e-16   2.8269831985448240e-15   4.9133899978210161e-17   7.8396000259085293e-19   1.1548371556142772e-22   2.0483020047053448e-30   4.0613528356310772e-31   6.8869079114114515e-24   5.8819511539460766e-24   1.0604258338633127e-22   3.7147387894068162e-21   5.5111726784510185e-10   6.7457600504916090e-13   1.6548298741419272e-12   3.2158056021463052e-10   1.6860300789810283e-20   1.8395702870020895e-12   1.1082778428037827e-12   2.1797626432487760e-14   1.2468179255781736e-11   3.1538949336464317e-12   1.3287748723856396e-14   1.0177877224514720e-17   6.8522947839258389e-20   1.4287492828599369e-10   2.0113615215341989e-25   4.7648473681769516e-26   1.9239827050145832e-25   1.6544233910315751e-25   2.9999954628329474e-03   5.2933393004556457e-14   5.8905020098162500e-13   3.5151927148510227e-11   2.7584021136959291e-11   3.8319595907355699e-21   2.2020660483971378e-24   6.2109112645436912e+00   2.5064378306836755e+01   1.0118952622163529e-03   7.4431188240496213e-07   9.2171495204168325e-04   6.2855300756279903e-04   1.6540142851517265e-06   1.6540142851517265e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.2500000000000000e+00   5.9011551747754720e-01   2.4400000000000000e+02   1.7525407385291856e+19   9.9284138999999996e+04   6.8697961583522805e-14   8.4703640695967595e-15   3.2272476908775944e-04   9.4658071708383752e-13   3.7829286396618901e-16   7.4807181106397537e-16   2.2855694706733165e-18   2.3436319022662458e-03   8.0240557203703375e-06   6.5046523120412155e-12   4.8095535368613625e-10   1.5832052774361301e-05   2.2161225796719541e-14   4.3498556099278205e-10   4.0059773209371258e-12   2.6505172560832642e-15   3.3159258309838056e-12   4.9173834699532958e-20   1.3743135547246776e-17   2.9996686079757608e-21   4.6990994241083151e-29   5.9418211749550963e-29   1.8396023932406569e-24   2.4501498664796975e-25   1.5921165902843788e-27   3.5810502387261340e-19   4.5267306211253768e-21   1.6628017323603448e-19   2.0365646947424324e-14   9.8693724371328960e-21   8.5040438819732372e-24   2.6356026424042824e-17   1.5234787807864236e-16   8.4379289225074420e-32   2.2097393279460483e-18   1.1572515901677517e-14   3.9601180469697306e-16   1.9783766598666535e-15   8.1960130447632249e-17   9.6010739697320635e-19   1.0715904589725217e-22   3.4339782547739031e-30   6.7754712934303341e-31   1.0073286627097190e-23   5.8019329109315492e-24   7.2305066751463833e-23   2.6191521699915641e-21   5.6537509192817529e-10   9.0644386496686416e-13   1.8971285634311218e-12   2.8082669600928862e-10   3.5037757417705272e-20   2.1517340715929502e-12   1.2182003676616759e-12   3.3833562531194689e-14   1.2584397043135800e-11   4.2794710192055840e-12   1.5146884282312896e-14   8.3282741788825867e-18   6.5897276248783266e-20   1.4357471250601640e-10   3.3198030850448354e-25   6.9838833965208086e-26   1.6848645011683277e-25   1.3641409211538230e-25   2.9999937581581650e-03   7.1936269441736034e-14   6.9713911015344904e-13   4.2041435230612202e-11   3.0927623118432658e-11   4.5863050878855522e-21   2.6355566864643376e-24   6.8300747339046399e+00   2.6700452937672598e+01   1.1506687201517482e-03   8.4638838929317555e-07   9.6436637449805814e-04   6.5778479070348057e-04   1.7651027702898872e-06   1.7651027702898872e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.7500000000000000e+00   5.5102138790292754e-01   2.4000000000000000e+02   1.6637119199967623e+19   9.9284138999999996e+04   1.1786956371497187e-13   1.0213877489225787e-14   2.1176622408605248e-04   1.0265191152495030e-12   4.0744529007329154e-16   6.5660220826944108e-16   1.8812586889278704e-18   2.3436316478192575e-03   8.0267238496596915e-06   6.0870662176540817e-12   3.9404855470114210e-10   1.5831453041010893e-05   2.1833461393473904e-14   4.3481840420238130e-10   4.6153871893144984e-12   4.8888589324823028e-15   3.3453182103672686e-12   9.1048452206563766e-20   2.1767764322714132e-17   2.1995704279626189e-20   5.6274946354401449e-29   7.0759577029670548e-29   1.9459658940082357e-24   2.8296984150651012e-25   1.8740925046298677e-27   5.7427229789986178e-19   3.8622342306881123e-21   1.7378189254030967e-19   2.0269698288177413e-14   1.0358640001575025e-20   1.0514345109497911e-23   2.8050623530653324e-17   1.6117865222082204e-16   8.5807792313844032e-32   2.2546555740405646e-18   7.6297681737705584e-15   2.2165163155797454e-16   1.3674642209934121e-15   1.3338221140088718e-16   1.1620933512447466e-18   1.0197324212604572e-22   5.6563878746293822e-30   1.1099667871905387e-30   1.4422820789796556e-23   5.8522764418274602e-24   5.0375596789550192e-23   1.7911824083479497e-21   5.7663048683961555e-10   1.1958918493010840e-12   2.1168783454477509e-12   2.4057195188652397e-10   8.2197746241389402e-20   2.4683595415748596e-12   1.3646449672987980e-12   5.4862049830479404e-14   1.4039762188310703e-11   5.9315341187838664e-12   1.7107086635507368e-14   6.6171215512533433e-18   6.1424876012247046e-20   1.4431155230791675e-10   5.4221544636896660e-25   9.9219785118321320e-26   1.4080053129252117e-25   1.0671126309504673e-25   2.9999917631903035e-03   9.4304466846407933e-14   8.0000554831597498e-13   4.9912931173205524e-11   3.3949750993103131e-11   5.4498360349477429e-21   3.1317916115048257e-24   7.4634506493605270e+00   2.7823943552676386e+01   1.2980182791115864e-03   9.5477315172480891e-07   1.0103741561925570e-03   6.8960292793612463e-04   1.8860906641592098e-06   1.8860906641592098e-06   1.7242782730117079e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
