alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     CO2                      S3                       S4                       N2                       SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
4.0000000000000000e+00   9.2826635719514905e-01   1.3924023618781874e+02   4.8309080693375148e+19   2.4999999999999993e+04   1.5479067122216542e-36   2.7195909841003420e-58   6.6352099614755028e-18   5.4707341639678701e-16   1.4144609955682091e-40   3.9059722303455928e-59   2.7361962934337527e-44   1.0000000000000001e-09   5.6964209270815418e-19   1.3364703251077088e-19   4.4999999999999997e-03   2.1352165160296986e-16   1.5327229989828737e-09   -4.2562861539427873e-32  -4.3757728237732166e-53  -1.0741037263741898e-33  6.4667059790652767e-80   -1.5755988239937395e-56  -4.0251551588698873e-45  1.2858418505275192e-26   2.3500323600092635e-26   9.5473063047738612e-13   6.0005537215820690e-13   1.1021857866843148e-16   3.1720622137688393e-29   5.5800106447624096e-13   4.4635144802120433e-16   6.3061767880438228e-11   6.8842604836583219e-38   1.1222793460579413e-36   5.1832761224843119e-16   1.3583084534784447e-12   2.0143790747931957e-43   8.1404474791723650e-60   2.2521840351848986e-13   7.5986689851629874e-20   2.8510412073061164e-21   6.7043091845791019e-17   5.3374311655823815e-11   8.8797751250974652e-28   3.6424646182825883e-35   5.0061068481250846e-36   3.9761715348661954e-20   -3.2586986296708425e-84  -6.4736188950995401e-85  -1.0871228598326293e-80  -1.5550309869061201e-81  -1.7968599292237481e-82  5.0422600786277185e-84   -3.6900948878499842e-85  -2.6418340034034388e-85  2.2131682767431137e-84   4.6198370550220069e-84   2.9642031061935357e-85   -1.2419032793931107e-83  5.9486962802336729e-84   1.3833142975170081e-50   -2.9365051970797822e-42  -6.9087056890735558e-53  -3.9419299487745301e-33  -3.7583762313151650e-69  -3.1763820992964724e-61  9.6878040464240269e-72   1.6850288071067427e-68   1.0071149823275326e-14   -1.1848129661265653e-84  1.1836103643658458e-84   9.3137241337056986e-47   -8.5281560234931123e-86  2.9378577185009450e-86   3.2822631937652867e-11   1.2188440444943458e-13   1.0000000000000000e-100  5.3264627928825930e-65   2.2699768041141670e+07   1.0789619412714342e+05   6.2566308523423324e-04   8.0945161652178912e-04   1.2693191583005263e-06   1.2693191583005263e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.2000000000000000e+01   7.9595428745471297e-01   1.3223914427065830e+02   4.3616318931221307e+19   2.4999999999999993e+04   1.3453830259032686e-35   1.0555558932786340e-56   7.7161939174177068e-18   6.5072601611952522e-16   1.0813661515388127e-39   1.0460901866425360e-57   3.1853951015315670e-44   1.0037029960551311e-09   4.0129160775810975e-19   1.3790384877150471e-19   4.4999461826699411e-03   1.9182064931515431e-16   1.7824080481887708e-09   -4.9405326848791777e-32  -3.4516767376342651e-52  -1.3568861705381060e-33  2.8495472453720428e-78   -1.8324153434773779e-56  -1.6495092852400213e-44  3.3511443447119252e-26   6.1420059359547191e-26   1.1058834274408907e-12   7.0427369902758467e-13   9.0399438427708032e-17   3.7123884430263763e-29   6.5840204167975531e-13   3.7841011230904641e-16   7.3324228125219528e-11   4.4168162277302096e-37   8.0498048412077913e-36   4.3618902445295728e-16   1.5276925896036907e-12   2.0619774938977296e-43   1.1187713392101836e-58   2.6190762635970164e-13   6.4071726367924555e-20   9.4640995908862501e-22   7.1312644172997508e-17   6.2143023303034811e-11   8.8355818101025305e-28   1.1977291745547841e-34   1.6057388790335462e-35   8.9313763977888330e-20   2.1927521156908242e-84   -5.7257836377928652e-85  -1.2223655203880191e-80  -1.7377341012551830e-81  -2.4101306440682405e-82  1.0232857058746602e-83   -4.0499295466774215e-85  -3.0026804197031125e-85  2.5908780959467258e-84   8.8684448556158054e-84   3.3784839294048151e-85   -1.4299129384606369e-83  1.3795143041304201e-83   4.0466335413248494e-50   -3.4149123001604930e-42  -1.7363998005498743e-52  -4.5841040098705210e-33  -3.6481834994580038e-69  -1.4521759749705939e-60  8.3737631514490763e-72   1.9616787627661240e-68   1.1711678650268469e-14   -1.3433975734584531e-84  1.3419387882502020e-84   1.0831001392918772e-46   -1.2263122030482121e-85  4.6905425281120883e-86   4.3877877279276270e-11   1.6293723644248380e-13   2.1222537818965337e-65   4.8090483204112759e-65   2.7397684643528387e+07   1.3022626026727101e+05   6.9356818506212641e-04   8.9730383942412581e-04   1.5055609534498746e-06   1.5055609534498746e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.0000000000000000e+01   6.7789310405237624e-01   1.2771247701173969e+02   3.8463500081461936e+19   2.4999999999999993e+04   5.5299372859540069e-35   1.8238527110989357e-55   8.9276330976629702e-18   7.6983968424052166e-16   4.1022575813611046e-39   1.6116589688629808e-56   3.6939322978161328e-44   1.0078523338031978e-09   2.9520494168565824e-19   1.3597857350613126e-19   4.4998845843650477e-03   1.8036962603566704e-16   2.0622188121764315e-09   -5.7173077286337642e-32  -1.3963275742804344e-51  -1.6413209509107509e-33  1.0565293564922106e-76   -2.1205113772173422e-56  -4.9356713247087156e-44  6.0181869921594710e-26   1.1030114777939992e-25   1.2714344119069954e-12   8.2671176755882168e-13   8.1401188491194295e-17   4.3536520867334130e-29   7.7907973800165586e-13   3.4798545438407603e-16   8.4817863461336113e-11   1.5493332290109808e-36   3.1529013721220581e-35   3.9089098634348702e-16   1.6802432611490046e-12   2.3533259774407797e-43   1.1984078561354555e-57   3.0302405065445049e-13   5.0301644658468434e-20   4.3863622667010078e-22   7.2603974572495196e-17   7.2024898832975204e-11   9.4211382280788860e-28   2.7164911397160478e-34   3.6055817198280158e-35   1.7220203139883777e-19   -2.0508354042258780e-84  -6.1185593849654819e-85  -1.3300656454829800e-80  -1.9030021506302922e-81  -5.8639927838705420e-82  -1.1568515608874730e-84  -5.1576432206601164e-85  -3.3408259493214533e-85  2.8367632490589271e-84   6.8121980628748804e-84   3.7737661942210185e-85   -1.6306975647217869e-83  5.1106460814024498e-84   1.1351863216879157e-49   -3.9510550134476199e-42  -3.2137113513928502e-52  -5.3037705240123921e-33  6.2251111957448361e-67   -3.7164439679132532e-60  7.1035783168635981e-72   2.2734401532394073e-68   1.3550142855736405e-14   -1.5051027194866589e-84  1.5033058709821218e-84   1.2531369919238706e-46   -1.5678921431679312e-85  7.2831365938686270e-86   5.6266781355342283e-11   2.0894251103352737e-13   1.8715312647907501e-65   1.0000000000000000e-100  3.0982761059344854e+07   1.4726679126390934e+05   7.6147991584335180e-04   9.8516464112233639e-04   1.7897776414121913e-06   1.7897776414121913e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.8000000000000000e+01   5.7384582826248232e-01   1.2269020483933038e+02   3.3892706502502380e+19   2.4999999999999993e+04   2.2028568546186784e-34   2.7023761452940402e-54   1.0301878463373226e-17   9.0744460237934251e-16   1.5015530867734813e-38   2.0689646284464091e-55   4.2778686103873815e-44   1.0125587468845190e-09   2.0671692277231112e-19   1.3190390987479946e-19   4.4998134194736486e-03   1.6062061877912282e-16   2.3796265637799771e-09   -6.5968491502096885e-32  -5.4180313991835594e-51  -1.9801091576595033e-33  3.2893063215981384e-75   -2.4477391246122902e-56  -1.2562277963662721e-43  9.6970217301466681e-26   1.7778086945033968e-25   1.4556265267187294e-12   9.7090333964843679e-13   7.0061504927865078e-17   5.1311755750442896e-29   9.2358087693476807e-13   3.0911399699719034e-16   9.7850445230957921e-11   5.0937218782273751e-36   1.1785389567491106e-34   3.3196344406500739e-16   1.8226918601769610e-12   2.4848436281162012e-43   1.0373880466894408e-56   3.4966546601563278e-13   3.9510785238081217e-20   2.0724626024890083e-22   7.2307117861918474e-17   8.3280648098377542e-11   9.5210266762701247e-28   5.6044192804831067e-34   7.3995390615028325e-35   3.5274585824774476e-19   -8.2319951191968789e-85  -4.8441819962885987e-85  -1.4958955822940157e-80  -2.0443643777047599e-81  -9.1976754316282673e-82  -3.8441689234296186e-84  -5.8149206053657387e-85  -3.6549145398406693e-85  2.9501433672989163e-84   -8.1308561474612147e-85  4.1527387701197246e-85   -1.8049465448984237e-83  -6.3157807976351157e-84  2.7569067131308231e-49   -4.5592510017060734e-42  -5.3787695860283344e-52  -6.1201453718180037e-33  1.1248433217936618e-66   -8.6094163663281765e-60  5.9374472980163959e-72   2.6286151827364102e-68   1.5635619383872521e-14   -1.5180557800369128e-84  1.5158030448480954e-84   1.4460230749797383e-46   -1.8787445343085460e-85  9.4581822730247125e-86   7.0319928154795833e-11   2.6112782729778902e-13   1.6491285365762666e-65   1.0000000000000000e-100  3.4119598555145815e+07   1.6217675980538598e+05   8.4783506053951168e-04   1.0968866095729930e-03   2.1491721143472805e-06   2.1491721143472805e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.6000000000000000e+01   4.8220002025360337e-01   1.1703609875372184e+02   2.9855771702274454e+19   4.5337541762562696e+03   1.0077238944418799e-33   5.1134046751727628e-53   1.3964485368450178e-17   1.0423679531551277e-15   6.3170735865782753e-38   3.4729842819882330e-54   5.8560406064578565e-44   1.0251002993977995e-09   1.3348261232168723e-19   1.2260356200085440e-19   4.4996196632212113e-03   1.4513567837926137e-16   3.2255482924418458e-09   -8.9075862886912175e-32  -2.9276272327044169e-50  -3.2986074325690004e-33  1.5868458776084848e-73   -3.3211533678738758e-56  -3.8668034748956529e-43  1.8017697336517460e-25   3.3027946724286107e-25   1.9389909994300226e-12   1.3662147326859387e-12   6.6575354093150081e-17   7.3616680292342558e-29   1.3243826401341734e-12   3.0751798734263771e-16   1.3257417897732011e-10   2.1730161140049269e-35   6.2544366204271158e-34   2.8838460105045652e-16   2.1480320736687005e-12   2.5222134513399051e-43   1.2556745155713396e-55   4.7396967509924760e-13   2.5851945675618770e-20   9.3879000873474793e-23   7.0274639637473840e-17   1.1336183635511482e-10   9.7664002500793221e-28   1.3227311422987509e-33   1.7485826440360255e-34   9.0925612995424764e-19   3.0663610492583642e-84   -5.5452642983919236e-85  -2.0391531664555213e-80  -2.3452955379234161e-81  -1.3818057430762683e-81  5.7825210857246236e-84   -6.5158386066357661e-85  -4.3274594405193497e-85  3.8783462592198592e-84   9.8926161684283724e-85   5.0011714713182794e-85   -2.2304065786842081e-83  6.1138150056715574e-84   9.8277848108657083e-49   -6.1802041904063003e-42  -1.0513055799804079e-51  -8.2958874900033674e-33  2.0555445088615035e-65   -2.3042327821226623e-59  5.0282193614696898e-72   3.5781293722738523e-68   2.1193477471089154e-14   -1.5329630485345825e-84  1.5292560023463969e-84   1.9600877742487770e-46   -2.5139115767429201e-85  1.3371042368012337e-85   1.0777086380670923e-10   4.0019909363250111e-13   1.4527017828424054e-65   1.0000000000000000e-100  4.6062648841361195e+07   2.1894428579138746e+05   9.6084808618552685e-04   1.2430972115025248e-03   2.6148927754586907e-06   2.6148927754586907e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.4000000000000000e+01   4.0167475243275841e-01   1.1119185249905608e+02   2.6177157286378443e+19   7.0000000000000011e+02   4.8844566673638984e-33   8.7962936693520592e-52   3.8860484557396089e-17   1.0996987586988810e-15   3.0492153725102344e-37   5.6965976430406885e-53   1.6781404894449588e-43   1.1103272190509939e-09   8.0052824297697127e-20   8.5485465112538005e-20   4.4982705042137415e-03   2.0285934021893208e-16   8.9747584055405799e-09   -2.3722155574250403e-31  -3.4303524570126031e-49  -2.2201112613360954e-32  1.0544600686785008e-71   -9.2677466452893972e-56  -1.9007755663888135e-42  7.6996758735653566e-25   1.4112061810565926e-24   5.1804026529100464e-12   4.1161299900250829e-12   1.2638908747562512e-16   2.4013880880089623e-28   4.1381459339780735e-12   6.3161393294425412e-16   3.6849659913712636e-10   1.8902535885145064e-34   8.6215734701001065e-33   4.0171785575571725e-16   4.0959176048848864e-12   3.5776598626960318e-43   2.6014224755938945e-54   1.3187825821461563e-12   6.9400573026781240e-21   3.9599822721461235e-23   5.9435592818677511e-17   3.1821229046169985e-10   1.5568992380101413e-27   6.6693668102299218e-33   8.8941833112731514e-34   4.7463487523530269e-18   3.2203790959210860e-84   1.3131905212713413e-84   -5.7319089838241727e-80  -4.1242063361461746e-81  -6.5084382481118373e-81  -2.9503894781063800e-84  -9.0357199270922009e-85  -7.9202079020711129e-85  5.8587716572896487e-84   -2.8389974478360310e-84  9.7867926319481617e-85   -5.0925359936234034e-83  2.5286866464060607e-84   8.9440038738590159e-48   -1.7198502060907421e-41  -4.8115773676980294e-51  -2.3083639744732550e-32  1.0536375412166788e-63   -1.4086365005393511e-58  7.9848438620756213e-72   1.0046557694551640e-67   5.8960859876699442e-14   -9.7867513324067561e-85  9.6262405015318394e-85   5.4539645805026468e-46   -5.1052342917011926e-85  2.5417938469286021e-85   3.6223493624628445e-10   1.3451325158513263e-12   1.2737091856702263e-65   1.0000000000000000e-100  1.3574756876786926e+08   6.4523329073317687e+05   1.1073133166122639e-03   1.4325866033671161e-03   3.2268083994198715e-06   3.2268083994198715e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
5.2000000000000000e+01   3.3158550105533058e-01   1.0621039594492237e+02   2.2622959499691651e+19   7.0000000000000011e+02   1.5163263329523904e-32   5.6923525204658727e-51   1.1156467427131422e-16   1.1329018280867914e-15   1.1101972729309456e-36   3.4931709272050145e-52   5.0281789932195921e-43   1.3590798662437222e-09   5.2679027782115638e-20   3.8662414130787585e-20   4.4942354564946989e-03   2.9805985055868326e-16   2.5756062745234502e-08   -2.7755588642192970e-31  -1.0990852419035994e-48  -6.6511858370172387e-32  1.7915421404795348e-70   -2.6705233128717972e-55  -5.5730167103166337e-42  4.4622928917795981e-24   8.1779569937616584e-24   1.4439421294145950e-11   1.2428725529747210e-11   2.4661242799555703e-16   8.5880642381555923e-28   1.2761813438061948e-11   1.3177695212380107e-15   1.0565800555242185e-09   1.4195049547367646e-33   9.3431159927069052e-32   6.1251307465172738e-16   8.7206531510801692e-12   5.3445955178314427e-43   2.3079140836156596e-53   3.7846151668379517e-12   1.1486938124735490e-21   1.4722522045285873e-23   3.9946274622323603e-17   9.1765768658159109e-10   2.6469165265643402e-27   4.0909881524417391e-32   5.5266849897552005e-33   2.3713304776279766e-17   -2.9031219129978914e-84  4.0478215635129132e-84   -1.8063039087005411e-79  -8.1179744127248542e-81  -2.0557417724479498e-80  1.0612020382999975e-83   -1.8351187088784560e-84  -1.5962829346920355e-84  6.2396573787695653e-84   3.6323894324531108e-84   2.1191805323480119e-84   -1.3880647700595071e-82  6.0477046732256851e-84   6.5626014865409421e-47   -4.9376673028884705e-41  -2.8989687780394521e-50  -6.6252976299843130e-32  4.4260916194983353e-62   -1.2685554832763456e-57  1.4887716956771442e-71   2.8986894579697880e-67   1.6913814537043030e-13   -1.3712763072229786e-84  1.2870311984620937e-84   1.5653102679068670e-45   -7.0574912014582400e-85  2.5131242163588441e-85   1.1040291330421873e-09   4.0997301383775639e-12   1.1007708149322468e-65   1.0000000000000000e-100  3.5756021951540077e+08   1.6995498274279390e+06   1.2865031764588493e-03   1.6644134845436359e-03   4.0188987221596521e-06   4.0188987221596521e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
6.0000000000000000e+01   2.7148421092625152e-01   1.0218676872085871e+02   1.9251777068554781e+19   7.0000000000000011e+02   5.8499712457522965e-32   7.2682158571989641e-50   1.9623864263027979e-16   1.2664636403775455e-15   4.6991426511792274e-36   4.1325500516099964e-51   9.4731041256875173e-43   1.6485518356067257e-09   3.7748350043792619e-20   1.6379213126596874e-20   4.4894372584364942e-03   3.3574491594864159e-16   4.5284067663566361e-08   -3.5351065410932307e-31  -4.3891746931872511e-48  -1.3021214350860631e-31  7.1998120822559057e-69   -4.7299963377563595e-55  -3.3833545358855419e-41  2.0809048660363625e-23   3.8132272473039986e-23   2.4852171342307015e-11   2.2607842992274293e-11   3.0894490775416753e-16   2.1051846210285148e-27   2.3511304033372235e-11   1.7242672434358289e-15   1.8562136776963384e-09   7.6844431339976825e-33   6.5122812829629939e-31   6.8807444476816230e-16   1.2491896125528793e-11   6.8862592342150547e-43   2.8909107631258306e-52   6.6538860061954618e-12   2.5934529101208523e-22   5.2086700199022984e-24   2.5049919075931710e-17   1.6174215329140574e-09   3.5036658836118053e-27   2.0250170226487966e-31   2.7734282634602918e-32   7.1570141400923090e-17   1.5831336700137284e-84   4.4006749523556281e-84   -2.9415605425810519e-79  -1.1118620791916508e-80  -4.3580078998071219e-80  -1.4267127888112346e-84  -2.6511556436648735e-84  -2.2586213226343134e-84  2.9971336500237687e-84   -4.3956549563829454e-84  3.1907783543282944e-84   -2.5685308153542235e-82  -1.2725973303229313e-83  2.4185615925799913e-46   -8.6855053626341593e-41  -1.3722060960522076e-49  -1.1649892474306769e-31  -1.1296490099720011e-61  -1.0998690686048059e-56  1.9622141156824815e-71   5.1126829569870769e-67   2.9722933749196605e-13   -4.4210666999222774e-85  8.3412121676055893e-86   2.7523354711071156e-45   -6.0630755767775320e-85  1.2714966484349692e-85   1.9646367789867551e-09   7.2955326745601730e-12   9.3673860660453083e-66   1.0000000000000000e-100  5.4146742898088658e+08   2.5736947939269240e+06   1.5048311247697122e-03   1.9468752676708146e-03   5.0370389589288558e-06   5.0370389589288558e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
6.8000000000000000e+01   2.2069539533375046e-01   9.8964602154905435e+01   1.6159737525836497e+19   7.0000000000000011e+02   2.9673276029353658e-31   1.6629983907203822e-48   2.9627487767437163e-16   1.4394413184915780e-15   2.5552985809101534e-35   8.5682150781840956e-50   1.5947949804595502e-42   1.9902245127363385e-09   2.7837171036996833e-20   6.3022333817335325e-21   4.4836687658589489e-03   3.5582866532170739e-16   6.8332113193915348e-08   -4.3906345507167131e-31  -2.1081296812153823e-47  -2.0947743984218479e-31  6.5061966833656154e-67   -7.2320940252271723e-55  -2.6291410339167389e-40  1.0657627354977924e-22   1.9526792358625009e-22   3.6705019053677723e-11   3.5227732012012317e-11   3.5036536775168169e-16   5.0599849072039139e-27   3.7016518644778794e-11   2.0233447431245347e-15   2.7985607280377378e-09   4.5053728899141407e-32   4.8272745352943018e-30   7.2273855856061239e-16   1.5344811441496589e-11   8.7852411324244144e-43   6.0392119831800894e-51   1.0040124874076605e-11   7.2781176528615118e-23   1.8057177680881179e-24   1.4276495193591462e-17   2.4455659248272572e-09   4.4237252355458898e-27   1.0893773799284534e-30   1.5114489582180842e-31   1.6662974632408977e-16   -3.8038136750189049e-84  9.2654287058806866e-84   -4.4428547676859467e-79  -1.3065714393434496e-80  -7.5245200841419864e-80  -1.2586212371568671e-83  -3.3269943891439799e-84  -2.7746626936845165e-84  3.8830234794745455e-85   -1.1771046076213662e-83  4.1992265756147074e-84   -3.8923414942039107e-82  -4.3521584167212509e-83  -2.4125088201464233e-46  -1.3113664278703993e-40  -7.1590864070383873e-49  -1.7581727866755060e-31  -6.3126937546066697e-60  -1.0986051757669670e-55  2.8060412366146483e-71   7.7381996955339774e-67   4.4823943625667024e-13   3.0926694663677409e-84   2.6190675266121832e-84   4.1535692403892200e-45   -4.6717759023069067e-85  1.5333342197663508e-86   2.9762762500659573e-09   1.1052180669269345e-11   7.8628875847559726e-66   1.0000000000000000e-100  6.8853621024039078e+08   3.2727399006427382e+06   1.7739242918520424e-03   2.2950145525835789e-03   6.3420568522064164e-06   6.3420568522064164e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
7.6000000000000000e+01   1.7831640615065181e-01   9.6366200957907580e+01   1.3408724820658883e+19   7.0000000000000011e+02   1.7616579913475097e-30   5.1691168067158414e-47   4.1592313833241681e-16   1.6393795993786392e-15   1.6496721440541743e-34   2.3695673174695111e-48   2.6331303146196571e-42   2.3984388027638808e-09   2.0868180565237678e-20   2.1198726164085773e-21   4.4766684304678468e-03   3.7097429606079137e-16   9.5865647834215337e-08   -2.9394322661343888e-31  -6.0281649838434095e-47  -1.6631459892114898e-31  8.9921406554212636e-65   -1.0376881118957711e-54  -1.4200637072011829e-39  5.8509094268940311e-22   1.0716970869874588e-21   5.0386586992511528e-11   5.0957605665868746e-11   3.8637556838936670e-16   1.2792969061662300e-26   5.3972684611003603e-11   2.2942294962851790e-15   3.9224123453182746e-09   2.8821945485760383e-31   3.8697669380281150e-29   7.4860739097253723e-16   1.7372941497089564e-11   1.1380449216134219e-42   1.6888407204741843e-49   1.4085021048191725e-11   2.5974478688646815e-23   6.0434821671774433e-25   7.2255090405662715e-18   3.4369965133094189e-09   5.5582076196492346e-27   6.2866189445316554e-30   8.8248047376803303e-31   3.1198089089970141e-16   1.4276066788153487e-84   1.0750213693511339e-83   -6.0969188813597698e-79  -1.4057510724199088e-80  -1.0864758848693185e-79  -1.8751737052306673e-84  -3.8876184324840760e-84  -3.1174512638819949e-84  -1.8293385191941186e-83  -7.1430440459261114e-85  5.1471947523735066e-84   -5.1736125800952371e-82  -1.4712926216286046e-83  -5.3147910825228498e-46  -1.8410476789860171e-40  -4.0559209723840508e-48  -2.4670172563021999e-31  -9.0644429841371154e-59  -1.1767605802844496e-54  5.1852310484844814e-71   1.0891598782361080e-66   6.2839137474267433e-13   3.6481669025582948e-84   1.7280568858108963e-85   5.8277875957078913e-45   -3.4685918592145920e-85  -7.7725338492089283e-86  4.1784240554342703e-09   1.5516267205447523e-11   6.5243220388861259e-66   1.0000000000000000e-100  8.0208285793868804e+08   3.8124481091095535e+06   2.1100195768696500e-03   2.7298378275751093e-03   8.0133945047487142e-06   8.0133945047487142e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
