alt                      temp                     eddy                     SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
0.000000000000000e+00    1.440629066312767e+02    2.500000000000000e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
8.040201005025125e+00    1.343690966946778e+02    2.500000000000000e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.608040201005025e+01    1.300443201992067e+02    2.500000000000000e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.412060301507537e+01    1.252610521223513e+02    2.500000000000000e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.216080402010050e+01    1.199328712248986e+02    2.500000000000000e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.020100502512562e+01    1.138663320182457e+02    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.824120603015075e+01    1.082060579035587e+02    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
5.628140703517587e+01    1.039372622701120e+02    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
6.432160804020100e+01    1.001524113528076e+02    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
7.236180904522612e+01    9.755610709509794e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
8.040201005025125e+01    9.492648027257781e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
8.844221105527637e+01    9.212408850040021e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
9.648241206030150e+01    8.938017181180608e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.045226130653266e+02    8.807986000765693e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.125628140703517e+02    8.724635454049540e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.206030150753769e+02    8.708991025339806e+01    7.000000000000000e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.286432160804020e+02    8.693346596630072e+01    8.393451069992360e+02    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.366834170854271e+02    8.791592009405170e+01    1.023577852719218e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.447236180904522e+02    8.947697105993991e+01    1.250036331322519e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.527638190954774e+02    9.207443430126993e+01    1.535569586405061e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.608040201005025e+02    9.449268584446996e+01    1.874880463146014e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.688442211055276e+02    9.675300398139996e+01    2.276440360529356e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.768844221105527e+02    1.000006984496187e+02    2.778083339027684e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.849246231155779e+02    1.034443248729444e+02    3.380292228010490e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.929648241206030e+02    1.065754321498217e+02    4.088183391816589e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.010050251256281e+02    1.096536392635329e+02    4.922227424981325e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.090452261306532e+02    1.127318463772442e+02    5.907393693544630e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
